,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,2.50,3.00,30.26,0.2,0.00,53.3,-6.863,42.75,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,17,9.4,00.000000,00.000000,17062201,1,0,11.71,12.48,25.5,22/06/2017 09:57:20,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.00,3.50,21.68,0.5,0.00,-52.6,-2.810,42.75,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,17,9.4,00.000000,00.000000,17062201,2,0,11.71,12.48,25.5,22/06/2017 09:57:20,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.00,1.50,247.16,0.2,0.00,44.0,-2784.508,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,1,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.50,2.00,108.95,0.0,0.00,18.2,-175.356,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,2,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.00,2.50,41.97,0.0,0.00,-39.2,-22.516,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,3,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.50,3.00,34.35,0.2,0.00,55.3,-8.376,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,4,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.00,3.50,23.11,0.0,0.00,-50.7,-3.035,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,5,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.50,4.00,16.29,0.3,0.00,33.7,-1.283,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,6,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,4.00,1.25,160.65,0.1,0.00,-23.4,813.591,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,7,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.25,1.75,207.73,0.1,0.00,42.4,-731.347,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,8,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
