label,x,y,z
1 1,0,2,2
1 2,0,2,6
1 3,0,3,2
1 4,0,3,6
1 5,10,2,2
1 6,10,2,6
1 7,10,3,2
1 8,10,3,6
1 9,3,0,2
1 10,5,0,2
1 11,7,0,2
1 12,3,0,6
1 13,5,0,6
1 14,7,0,6
1 15,3,5,2
1 16,5,5,2
1 17,7,5,2
1 18,3,5,6
1 19,5,5,6
1 20,7,5,6
