644   (removed low and high geometric factor measurements, added 2% noise to R                                                   
1	3	19	3	17	1	17	1	19	-0.235144958
2	3	22	3	20	1	20	1	22	-0.239719818
3	3	18	3	16	1	16	1	18	-0.242195236
4	3	12	3	10	1	10	1	12	-0.2351688
5	3	23	3	21	1	21	1	23	-0.231460798
6	3	5	3	3	1	3	1	5	-0.241518532
7	3	14	3	12	1	12	1	14	-0.221829263
8	3	21	3	19	1	19	1	21	-0.227800474
9	3	3	3	1	1	1	1	3	-0.233590749
10	3	6	3	4	1	4	1	6	-0.236973379
11	3	10	3	8	1	8	1	10	-0.260815112
12	3	9	3	7	1	7	1	9	-0.222404713
13	3	4	3	2	1	2	1	4	-0.227572714
14	3	25	3	23	1	23	1	25	-0.236796328
15	3	20	3	18	1	18	1	20	-0.230766102
16	3	15	3	13	1	13	1	15	-0.229378898
17	3	8	3	6	1	6	1	8	-0.220227211
18	3	7	3	5	1	5	1	7	-0.231671625
19	3	17	3	15	1	15	1	17	-0.237260725
20	3	13	3	11	1	11	1	13	-0.214627046
21	3	16	3	14	1	14	1	16	-0.235168037
22	3	11	3	9	1	9	1	11	-0.28759381
23	3	24	3	22	1	22	1	24	-0.238194711
24	2	23	2	21	1	21	1	23	-1.423591791
25	3	13	3	11	2	11	2	13	-1.433712064
26	2	3	2	1	1	1	1	3	-1.378648537
27	2	20	2	18	1	18	1	20	-1.440013437
28	3	3	3	1	2	1	2	3	-1.447796303
29	3	4	3	2	2	2	2	4	-1.387755916
30	2	12	2	10	1	10	1	12	-1.663468013
31	2	16	2	14	1	14	1	16	-1.437030757
32	3	10	3	8	2	8	2	10	-1.691725655
33	2	9	2	7	1	7	1	9	-1.528174761
34	3	21	3	19	2	19	2	21	-1.443303735
35	3	24	3	22	2	22	2	24	-1.453488579
36	3	14	3	12	2	12	2	14	-1.528893047
37	3	12	3	10	2	10	2	12	-1.673447559
38	2	24	2	22	1	22	1	24	-1.470715093
39	2	22	2	20	1	20	1	22	-1.443278472
40	3	5	3	3	2	3	2	5	-1.446239341
41	2	6	2	4	1	4	1	6	-1.408925917
42	3	9	3	7	2	7	2	9	-1.600322723
43	3	7	3	5	2	5	2	7	-1.515653082
44	2	25	2	23	1	23	1	25	-1.518037996
45	3	11	3	9	2	9	2	11	-1.793163491
46	2	14	2	12	1	12	1	14	-1.456048554
47	3	8	3	6	2	6	2	8	-1.501703004
48	2	8	2	6	1	6	1	8	-1.470600425
49	2	7	2	5	1	5	1	7	-1.456402605
50	3	16	3	14	2	14	2	16	-1.460936568
51	3	18	3	16	2	16	2	18	-1.436778485
52	2	13	2	11	1	11	1	13	-1.519444635
53	2	17	2	15	1	15	1	17	-1.409152104
54	3	23	3	21	2	21	2	23	-1.434934172
55	3	25	3	23	2	23	2	25	-1.529523878
56	2	4	2	2	1	2	1	4	-1.411185885
57	2	10	2	8	1	8	1	10	-1.707751886
58	2	18	2	16	1	16	1	18	-1.454139314
59	2	11	2	9	1	9	1	11	-1.845256409
60	2	15	2	13	1	13	1	15	-1.43737133
61	3	6	3	4	2	4	2	6	-1.465310716
62	2	5	2	3	1	3	1	5	-1.459374039
63	3	22	3	20	2	20	2	22	-1.483805781
64	3	19	3	17	2	17	2	19	-1.454257792
65	2	21	2	19	1	19	1	21	-1.471196956
66	2	19	2	17	1	17	1	19	-1.500800184
67	3	17	3	15	2	15	2	17	-1.456285099
68	3	15	3	13	2	13	2	15	-1.436083681
69	3	20	3	18	2	18	2	20	-1.485636203
70	1	20	1	18	1	14	1	16	1.286752486
71	3	19	3	17	3	13	3	15	1.304420696
72	3	16	3	14	3	10	3	12	1.319728096
73	2	14	2	12	2	8	2	10	1.752679873
74	1	22	1	20	1	16	1	18	1.292272824
75	1	24	1	22	1	18	1	20	1.271063332
76	1	7	1	5	1	1	1	3	1.298592098
77	2	10	2	8	2	4	2	6	1.435713716
