371
1	3	4	1	2	-4.651246422	-3.6
2	9	10	1	2	-0.028208116	-3.516
3	12	13	1	2	-0.015046246	-12.732
4	10	11	1	3	-0.039351509	-3.864
5	6	12	1	4	-1.08460517	-0.528
6	10	5	1	4	3.662153079	-0.492
7	7	14	1	4	-0.698486731	-2.088
8	12	24	1	4	-0.290942516	-1.068
9	22	11	1	4	0.323233527	-1.368
10	11	8	1	4	0.316084226	-1.44
11	8	16	1	4	-0.532265477	-1.26
12	14	10	1	4	0.220657111	-3
13	10	20	1	4	-0.367349464	-1.692
14	20	19	1	4	0.018981637	-10.836
15	8	16	1	5	-0.941733673	-0.996
16	6	12	1	5	-3.749766472	-0.3
17	12	24	1	5	-0.463406687	-0.816
18	24	7	1	5	1.71318402	-1.02
19	7	14	1	5	-1.413920448	-0.636
20	14	9	1	5	0.561292985	-0.864
21	9	18	1	5	-0.738535399	-0.708
22	18	10	1	5	0.547085786	-2.22
23	10	20	1	5	-0.601177416	-0.84
24	11	22	1	5	-0.521686428	-2.412
25	8	16	1	6	-1.73371854	-1.212
26	10	20	1	6	-0.898045994	-1.332
27	20	7	1	6	4.881482038	-1.032
28	7	14	1	6	-4.551931459	-0.876
29	8	9	1	6	-0.681271607	-0.912
30	9	18	1	6	-1.159491959	-0.888
31	11	22	1	6	-0.762469756	-0.756
32	22	12	1	6	0.626201998	-0.912
33	12	24	1	6	-0.669287797	-1.308
34	4	5	2	3	-3.945183701	-1.044
35	8	9	2	4	-0.106933683	-9.624
36	11	12	2	4	-0.037762771	-15.888
37	14	15	2	4	-0.024705082	-0.396
38	15	16	2	4	-0.019959848	-18.792
39	17	16	2	5	0.041183783	-0.792
40	13	16	2	5	-0.145741024	-0.108
41	17	18	2	5	-0.018869366	-13.32
42	19	20	2	5	-0.024064171	-2.724
43	8	9	2	6	-0.646708749	-1.272
44	9	10	2	6	-0.30885067	-0.588
45	10	11	2	6	-0.169417177	-1.596
46	12	13	2	6	-0.11545457	-1.668
47	13	14	2	6	-0.099419584	-3.852
48	14	15	2	6	-0.072117441	-15.348
49	16	17	2	6	-0.063218312	-2.112
50	19	20	2	6	-0.036341561	-8.088
51	8	9	2	7	-3.606758949	-0.9
52	9	10	2	7	-0.726973634	-0.54
53	10	11	2	7	-0.291477781	-1.332
54	11	12	2	7	-0.189987416	-2.232
55	12	13	2	7	-0.172794396	-3.384
56	13	14	2	7	-0.145291629	-2.184
57	15	16	2	7	-0.078720564	-13.752
58	17	18	2	7	-0.040340787	-2.688
59	5	6	3	4	-2.19066447	-0.396
60	8	9	3	4	-0.06492508	-2.964
61	13	14	3	4	-0.018875029	-3.264
62	7	9	3	5	-0.659332354	-0.324
63	16	17	3	5	-0.03126181	-2.988
64	21	20	3	6	0.023831581	-3.24
65	20	19	3	6	0.030276178	-5.76
66	19	18	3	6	0.023831581	-5.412
67	17	16	3	6	0.053167922	-5.664
68	8	9	3	6	-0.605054336	-1.608
69	9	10	3	6	-0.276522488	-0.744
70	10	11	3	6	-0.148657736	-1.128
71	11	12	3	6	-0.105121584	-1.44
72	13	14	3	6	-0.084906929	-1.584
73	9	12	3	6	-0.530872163	-0.852
74	14	17	3	6	-0.161458187	-1.608
75	17	18	3	6	-0.024896906	-9.432
76	19	20	3	6	-0.030114736	-0.828
77	20	21	3	6	-0.02370466	-1.968
78	8	9	3	7	-3.56579763	-0.972
79	9	10	3	7	-0.694494075	-0.36
