,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.50,1.00,1.50,2.00,723.54,0.0,9.86,-14.2,-962.284,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.57,17.77,15.69,14.07,12.77,11.68,10.79,10.02,9.34,8.74,8.24,7.77,7.34,6.97,6.64,6.32,6.01,5.77,5.50,5.29,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,1,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.00,2.50,794.86,0.0,11.09,1.3,-264.285,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.51,19.58,17.37,15.65,14.22,13.13,12.21,11.29,10.53,9.91,9.31,8.85,8.38,7.93,7.54,7.26,6.97,6.69,6.33,6.16,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,2,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.50,3.00,882.51,0.0,11.86,-90.1,-117.371,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.98,21.82,19.14,17.12,15.36,14.25,13.11,12.18,11.38,10.47,9.86,9.15,8.78,8.15,7.68,7.39,7.12,6.66,6.35,6.27,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,3,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.00,3.50,1129.61,0.0,12.64,-1.4,-75.117,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.54,22.43,19.89,17.83,16.57,15.10,13.99,13.00,12.17,11.29,10.63,9.78,9.41,9.10,8.78,8.17,7.86,7.28,6.97,6.93,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,4,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.50,4.00,1167.18,0.0,10.80,69.8,-44.352,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.74,18.97,15.90,14.95,13.57,12.89,11.97,10.57,10.75,9.57,8.94,8.46,8.22,7.58,6.53,7.60,7.33,6.74,7.15,6.51,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,5,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,4.00,4.50,1104.72,0.0,9.60,7.9,-26.237,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.71,18.03,16.50,14.41,12.60,11.42,11.01,10.47,8.95,8.37,8.69,6.11,6.92,6.47,7.04,5.23,5.05,5.38,4.41,4.22,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,6,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,4.50,5.00,986.66,0.0,10.20,12.1,-15.622,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.62,19.50,15.63,14.28,10.84,10.95,12.30,10.67,10.46,8.97,6.51,8.51,6.97,6.14,5.73,6.71,7.11,7.77,7.14,6.25,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,7,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,5.00,5.50,1381.00,0.0,9.20,-24.3,-15.306,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.19,16.47,15.07,14.07,12.20,13.58,11.24,10.39,9.51,7.81,6.61,6.96,6.82,6.17,5.33,5.06,4.54,4.48,4.39,4.07,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,8,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,5.50,6.00,899.52,0.0,9.59,-3.7,-7.251,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.70,17.35,16.37,16.80,12.48,14.02,9.39,9.88,8.77,5.13,4.38,4.94,8.09,9.51,4.63,7.97,7.41,4.88,5.37,4.76,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,9,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,6.00,6.50,1019.02,0.0,10.69,43.4,-6.160,12.53,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.15,19.48,21.80,15.84,12.94,12.06,12.79,10.47,10.39,8.28,9.88,7.19,9.45,5.74,7.19,7.56,7.05,4.87,4.87,4.72,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.9,00.000000,00.000000,18102305,10,0,12.78,12.23,18.7,23/10/2018 16:02:29,0.0,0.00,0.0
