         140
  84   6   7  13  12  0.37619742E+00      7.699240      0.1241E+03
  85   7   8  14  13  0.40997310E+00     11.514120      0.1352E+03
  86   8   9  15  14  0.43974742E+00     14.492602      0.1451E+03
  87   9  10  16  15  0.42850905E+00     13.489290      0.1414E+03
  88  10  11  17  16  0.39500734E+00      9.984270      0.1303E+03
  89  11  12  18  17  0.36799518E+00      6.730743      0.1214E+03
  90  12  13  19  18  0.34902703E+00      4.597790      0.1151E+03
  91  13  14  20  19  0.32791570E+00      2.426965      0.1082E+03
  92  14  15  21  20  0.30592502E+00     -0.043338      0.1009E+03
  93  15  16  22  21  0.29467354E+00     -1.202845      0.9720E+02
  94  16  17  23  22  0.29664221E+00     -1.008637      0.9785E+02
  95  17  18  24  23  0.29948751E+00     -0.631030      0.9879E+02
  96   1   2   9   8  0.18577959E+00     -0.850814      0.9805E+02
  97   2   3  10   9  0.19665170E+00      1.017316      0.1038E+03
  98   3   4  11  10  0.20943805E+00      3.152548      0.1105E+03
  99   4   5  12  11  0.21960212E+00      4.959049      0.1159E+03
 100   5   6  13  12  0.23291412E+00      7.322040      0.1229E+03
 101   6   7  14  13  0.25107737E+00     10.603485      0.1325E+03
 102   7   8  15  14  0.26661275E+00     13.380637      0.1407E+03
 103   8   9  16  15  0.27096338E+00     14.219070      0.1430E+03
 104   9  10  17  16  0.25998103E+00     12.428237      0.1372E+03
 105  10  11  18  17  0.24337897E+00      9.276369      0.1285E+03
 106  11  12  19  18  0.22917937E+00      6.478348      0.1210E+03
 107  12  13  20  19  0.21811839E+00      4.677359      0.1151E+03
 108  13  14  21  20  0.20703441E+00      2.706123      0.1093E+03
 109  14  15  22  21  0.19141122E+00      0.159590      0.1010E+03
 110  15  16  23  22  0.18441265E+00     -1.264838      0.9733E+02
 111  16  17  24  23  0.18440417E+00     -1.163346      0.9733E+02
 112   1   2  10   9  0.13173518E+00      1.236267      0.1043E+03
 113   2   3  11  10  0.14010659E+00      3.329279      0.1109E+03
 114   3   4  12  11  0.14643011E+00      4.944007      0.1159E+03
 115   4   5  13  12  0.15395071E+00      7.018429      0.1219E+03
 116   5   6  14  13  0.16370512E+00      9.782889      0.1296E+03
 117   6   7  15  14  0.17077237E+00     11.869212      0.1352E+03
 118   7   8  16  15  0.17102605E+00     12.410701      0.1354E+03
 119   8   9  17  16  0.17135716E+00     12.486627      0.1357E+03
 120   9  10  18  17  0.16795650E+00     11.192384      0.1330E+03
 121  10  11  19  18  0.15990736E+00      8.648888      0.1266E+03
 122  11  12  20  19  0.15144036E+00      6.249694      0.1199E+03
 123  12  13  21  20  0.14589054E+00      4.733041      0.1155E+03
 124  13  14  22  21  0.13824598E+00      2.940162      0.1094E+03
 125  14  15  23  22  0.12838874E+00      0.345399      0.1016E+03
 126  15  16  24  23  0.12257870E+00     -1.293242      0.9704E+02
 127   1   2  11  10  0.98368271E-01      3.477280      0.1113E+03
 128   2   3  12  11  0.10232201E+00      4.937163      0.1157E+03
 129   3   4  13  12  0.10711791E+00      6.788496      0.1211E+03
 130   4   5  14  13  0.11266609E+00      9.166482      0.1274E+03
 131   5   6  15  14  0.11541942E+00     10.607145      0.1305E+03
 132   6   7  16  15  0.11333369E+00     10.404791      0.1282E+03
 133   7   8  17  16  0.11188943E+00     10.177522      0.1265E+03
 134   8   9  18  17  0.11451871E+00     10.772687      0.1295E+03
 135   9  10  19  18  0.11460718E+00     10.186157      0.1296E+03
 136  10  11  20  19  0.11020300E+00      8.145127      0.1246E+03
 137  11  12  21  20  0.10568618E+00      6.090302      0.1195E+03
 138  12  13  22  21  0.10182873E+00      4.778757      0.1152E+03
 139  13  14  23  22  0.97335244E-01      3.132864      0.1101E+03
 140  14  15  24  23  0.90091674E-01      0.525509      0.1019E+03
