         140
  104      9     10     16     17   -0.2598895253E+00      137.16646
  105     10     11     17     18   -0.2432894645E+00      128.40515
  106     11     12     18     19   -0.2290909907E+00      120.91138
  107     12     13     19     20   -0.2180334579E+00      115.07535
  108     13     14     20     21   -0.2069538031E+00      109.22764
  109     14     15     21     22   -0.1913414838E+00      100.98766
  110     15     16     22     23   -0.1843484063E+00       97.29680
  111     16     17     23     24   -0.1843427724E+00       97.29382
  112      1      2      9     10   -0.1316959589E+00      104.26123
  113      2      3     10     11   -0.1400619511E+00      110.88443
  114      3      4     11     12   -0.1463828353E+00      115.88856
  115      4      5     12     13   -0.1539018485E+00      121.84122
  116      5      6     13     14   -0.1636551900E+00      129.56276
  117      6      7     14     15   -0.1707221489E+00      135.15754
  118      7      8     15     16   -0.1709787160E+00      135.36066
  119      8      9     16     17   -0.1713089975E+00      135.62214
  120      9     10     17     18   -0.1679056689E+00      132.92779
  121     10     11     18     19   -0.1598558045E+00      126.55486
  122     11     12     19     20   -0.1513901658E+00      119.85277
  123     12     13     20     21   -0.1458410610E+00      115.45965
  124     13     14     21     22   -0.1382000403E+00      109.41039
  125     14     15     22     23   -0.1283490620E+00      101.61156
  126     15     16     23     24   -0.1225436560E+00       97.01553
  127      1      2     10     11   -0.9834044553E-01      111.22042
  128      2      3     11     12   -0.1022925275E+00      115.69012
  129      3      4     12     13   -0.1070875353E+00      121.11315
  130      4      5     13     14   -0.1126352254E+00      127.38744
  131      5      6     14     15   -0.1153901127E+00      130.50314
  132      6      7     15     16   -0.1133074245E+00      128.14768
  133      7      8     16     17   -0.1118645192E+00      126.51579
  134      8      9     17     18   -0.1144910969E+00      129.48638
  135      9     10     18     19   -0.1145763373E+00      129.58278
  136     10     11     19     20   -0.1101714847E+00      124.60101
  137     11     12     20     21   -0.1056547352E+00      119.49269
  138     12     13     21     22   -0.1017980127E+00      115.13084
  139     13     14     22     23   -0.9730658859E-01      110.05116
  140     14     15     23     24   -0.9006765246E-01      101.86412
