    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Original_Weight  Final_Weight    C
    7    9        20   22        0.65091         61.692         64.616         0.14057E+02    0.14057E+02    0
    7    9        22   11       -0.28623         50.772         50.481         0.49896E+02    0.49896E+02    0
    7    9        11   13       -0.51256         49.051         48.549         0.49771E+02    0.49771E+02    0
    7    9        13   15        0.08058         51.959         52.048         0.47003E+02    0.47003E+02    0
    7    9        15   17       -0.21513         56.674         56.358         0.38446E+02    0.38446E+02    0
    7    9        17   19       -0.34985         59.206         58.432         0.26597E+02    0.26597E+02    0
    7    9        19   21        0.43551         60.358         61.907         0.17183E+02    0.17183E+02    0
    8   10        11   13       -0.93522         46.084         45.229         0.49974E+02    0.49974E+02    0
    8   10        13   15       -0.15110         44.292         44.155         0.48699E+02    0.48699E+02    0
    8   10        15   17        0.09169         47.488         47.592         0.41899E+02    0.41899E+02    0
    8   10        17   19       -0.49467         50.685         49.853         0.29871E+02    0.29871E+02    0
    8   10        19   21        0.12572         52.873         53.218         0.19301E+02    0.19301E+02    0
    8   10        21   23        0.65091         60.391         63.312         0.13783E+02    0.13783E+02    0
    8   10        23   12       -0.69148         45.322         44.698         0.49870E+02    0.49870E+02    0
    8   10        12   14       -1.13026         44.526         43.525         0.49722E+02    0.49722E+02    0
    8   10        14   16        0.51856         42.114         42.595         0.45637E+02    0.45637E+02    0
    8   10        16   18       -0.25721         51.043         50.686         0.36737E+02    0.36737E+02    0
    8   10        18   20        0.06175         56.674         56.810         0.25767E+02    0.25767E+02    0
    8   10        20   22        0.37812         54.426         55.755         0.15668E+02    0.15668E+02    0
    9   11        12   14       -1.16999         44.176         43.154         0.49972E+02    0.49972E+02    0
    9   11        14   16        0.76631         37.683         38.286         0.48228E+02    0.48228E+02    0
    9   11        16   18        0.02166         46.074         46.098         0.41515E+02    0.41515E+02    0
    9   11        18   20       -0.08343         51.932         51.789         0.30337E+02    0.30337E+02    0
    9   11        20   22        0.08255         50.894         51.120         0.18681E+02    0.18681E+02    0
    9   11        22   24        0.64018         50.462         53.313         0.11652E+02    0.11652E+02    0
    9   11        24   13       -0.13189         42.291         42.179         0.49851E+02    0.49851E+02    0
    9   11        13   15       -0.59954         41.384         40.887         0.49679E+02    0.49679E+02    0
    9   11        15   17        0.47143         42.332         42.772         0.45676E+02    0.45676E+02    0
    9   11        17   19       -0.50345         45.906         45.248         0.34889E+02    0.34889E+02    0
    9   11        19   21       -0.13834         48.925         48.632         0.23036E+02    0.23036E+02    0
    9   11        21   23        0.39237         56.902         58.288         0.16307E+02    0.16307E+02    0
   10   12        13   15       -1.13320         45.199         44.186         0.49973E+02    0.49973E+02    0
   10   12        15   17        0.47013         41.555         41.960         0.48529E+02    0.48529E+02    0
   10   12        17   19       -0.52506         45.325         44.752         0.41302E+02    0.41302E+02    0
   10   12        19   21       -0.53212         49.380         48.494         0.29370E+02    0.29370E+02    0
   10   12        21   23       -0.07214         58.807         58.606         0.21098E+02    0.21098E+02    0
   10   12        23   14       -0.09775         41.156         41.075         0.49837E+02    0.49837E+02    0
   10   12        14   16        0.24384         37.886         38.073         0.49618E+02    0.49618E+02    0
   10   12        16   18        0.11167         45.684         45.795         0.46220E+02    0.46220E+02    0
   10   12        18   20       -0.22457         51.825         51.511         0.36993E+02    0.36993E+02    0
   10   12        20   22       -0.37734         51.970         51.164         0.24144E+02    0.24144E+02    0
   10   12        22   24        0.35497         52.429         53.673         0.15147E+02    0.15147E+02    0
   11   13        14   16       -1.54740         41.703         40.431         0.49969E+02    0.49969E+02    0
   11   13        16   18        0.09598         45.628         45.718         0.48771E+02    0.48771E+02    0
   11   13        18   20       -0.22229         51.704         51.437         0.42910E+02    0.42910E+02    0
   11   13        20   22       -0.48093         52.623         51.803         0.30591E+02    0.30591E+02    0
   11   13        22   24        0.20193         54.422         54.980         0.19779E+02    0.19779E+02    0
