x,z,buried
0.15,0.07,1
0.15,0.14,1
0.15,0.21,1
0.15,0.28,1
0.15,0.35,1
0.15,0.42,1
0.3,0.07,1
0.3,0.14,1
0.3,0.21,1
0.3,0.28,1
0.3,0.35,1
0.3,0.42,1
0.45,0.07,1
0.45,0.14,1
0.45,0.21,1
0.45,0.28,1
0.45,0.35,1
0.45,0.42,1
0.6,0.07,1
0.6,0.14,1
0.6,0.21,1
0.6,0.28,1
0.6,0.35,1
0.6,0.42,1
