332
118	1 29	1 30	1 33	1 34	-2.1488051000400312
119	1 30	1 31	1 34	1 35	-5.2775560925666944
120	1 31	1 32	1 35	1 36	-5.13770973687104
121	1 32	1 33	1 36	1 37	-7.76444874877531
122	1 33	1 34	1 37	1 38	-0.018521970452850308
123	1 34	1 35	1 38	1 39	-0.05510969865338001
124	1 35	1 36	1 39	1 40	-0.024831707597388352
125	1 36	1 37	1 40	1 41	-24.96424287579004
126	1 37	1 38	1 41	1 42	-2.7228333418671613
127	1 38	1 39	1 42	1 43	-6.6233155945841995
128	1 39	1 40	1 43	1 44	-5.750590597580334
129	1 40	1 41	1 44	1 45	-3.665807952120732
130	1 41	1 42	1 45	1 46	-3.713778243731423
131	1 42	1 43	1 46	1 47	-5.8187636238001765
132	1 43	1 44	1 47	1 48	-5.7287251519962545
133	1 1	1 2	1 6	1 7	-1.1264102437427659
134	1 2	1 3	1 7	1 8	-1.4730507414285712
135	1 3	1 4	1 8	1 9	-1.272090600599757
136	1 4	1 5	1 9	1 10	-1.4888491526898526
137	1 5	1 6	1 10	1 11	-1.4850204541085479
138	1 6	1 7	1 11	1 12	-2.3998797252623603
139	1 7	1 8	1 12	1 13	-9.08717138940102
140	1 8	1 9	1 13	1 14	0.0016931068939933533
141	1 9	1 10	1 14	1 15	-4.1253243224885436e-05
142	1 10	1 11	1 15	1 16	-0.017281085026473433
143	1 11	1 12	1 16	1 17	0.011339180775258877
144	1 12	1 13	1 17	1 18	-17.01378456765314
145	1 13	1 14	1 18	1 19	-1.560742739376668
146	1 14	1 15	1 19	1 20	-2.7590421655388773
147	1 15	1 16	1 20	1 21	-2.502933676649337
148	1 16	1 17	1 21	1 22	-2.58545867384191
149	1 17	1 18	1 22	1 23	-2.9286433039994106
150	1 18	1 19	1 23	1 24	-3.5810926190147137
151	1 19	1 20	1 24	1 25	-12.038492838534392
152	1 20	1 21	1 25	1 26	0.01333260123976863
153	1 21	1 22	1 26	1 27	-0.000613004339362891
154	1 22	1 23	1 27	1 28	-0.03966123959510777
155	1 23	1 24	1 28	1 29	-0.10007858438421131
156	1 24	1 25	1 29	1 30	-7.949542958163171
157	1 25	1 26	1 30	1 31	-0.9088639418301148
158	1 26	1 27	1 31	1 32	-1.7404026136998276
159	1 27	1 28	1 32	1 33	-0.789671327061275
160	1 28	1 29	1 33	1 34	-1.8471551853215147
161	1 29	1 30	1 34	1 35	-1.2727671861019256
162	1 30	1 31	1 35	1 36	-2.0135883098628997
163	1 31	1 32	1 36	1 37	-8.302194546055302
164	1 32	1 33	1 37	1 38	0.0015906518030516432
165	1 33	1 34	1 38	1 39	-0.06291058801101997
166	1 34	1 35	1 39	1 40	-0.03124069498125636
167	1 35	1 36	1 40	1 41	0.0005654204536076078
