,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,2.50,3.00,55.37,0.2,2.54,-25.6,-30.727,104.60,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.95,3.49,3.61,3.35,3.15,2.99,2.74,2.61,2.40,2.32,2.38,2.22,2.20,2.12,1.93,1.86,2.05,2.04,1.77,1.55,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,104,11,1.0,00.000000,00.000000,17042716,1,0,11.44,12.01,13.3,27/04/2017 14:55:44,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.00,3.50,49.18,0.4,7.19,18.2,-15.595,104.60,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.89,13.37,11.86,10.41,9.34,8.83,7.81,7.78,6.79,5.79,5.82,5.89,5.33,4.85,4.84,4.72,3.78,4.00,4.14,3.56,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,104,11,1.0,00.000000,00.000000,17042716,2,0,11.44,12.01,13.3,27/04/2017 14:55:44,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.00,1.50,87.95,0.0,5.19,19.2,-2722.812,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.21,9.79,8.68,7.77,7.02,6.38,5.84,5.37,4.95,4.58,4.26,3.96,3.69,3.47,3.25,3.05,2.88,2.71,2.55,2.42,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,1,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.50,2.00,49.39,0.0,1.19,-3.2,-218.437,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.43,2.12,1.88,1.68,1.54,1.46,1.33,1.21,1.12,1.08,1.00,0.95,0.93,0.83,0.80,0.74,0.71,0.71,0.70,0.65,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,2,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.00,2.50,55.06,0.0,2.66,-33.9,-81.171,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.23,4.53,4.17,3.80,3.47,3.15,2.98,2.75,2.55,2.41,2.28,2.20,1.93,1.85,1.85,1.68,1.63,1.64,1.52,1.57,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,3,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.50,3.00,73.62,0.1,2.65,-25.7,-49.331,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.73,4.19,3.66,3.49,3.42,3.14,2.94,2.93,2.71,2.50,2.21,2.28,2.22,2.06,2.02,1.90,1.83,1.82,1.49,1.55,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,4,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.00,3.50,65.72,0.1,5.11,17.3,-23.713,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.09,9.51,8.45,7.30,6.44,6.19,5.87,5.17,4.83,4.60,4.43,3.54,3.36,3.73,3.27,3.25,2.89,2.80,2.99,2.60,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,5,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.50,4.00,73.11,0.1,3.05,81.3,-15.828,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.15,4.88,5.14,4.99,4.33,4.10,3.67,2.66,2.98,2.96,2.66,1.64,1.30,2.39,2.49,2.56,1.46,1.26,1.24,2.13,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,6,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,4.00,1.25,55.37,0.0,1.48,-81.3,770.515,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.92,2.56,2.30,2.09,1.91,1.76,1.65,1.53,1.43,1.34,1.26,1.19,1.13,1.07,1.01,0.97,0.92,0.88,0.84,0.79,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,7,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.25,1.75,53.68,0.0,0.59,19.8,-519.300,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,1.18,1.02,0.90,0.81,0.72,0.65,0.60,0.56,0.51,0.47,0.45,0.41,0.38,0.34,0.33,0.33,0.29,0.28,0.25,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,8,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
