644    
    1      2   4      2   6      3   6      3   4  0.22816 3131.28459
    2      2   9      2  11      3  11      3   9  0.28088 3125.59983
    3      2  20      2  22      3  22      3  20  0.22452 3130.80741
    4      2   7      2   9      3   9      3   7  0.20970 3134.11961
    5      2  10      2  12      3  12      3  10  0.23058 3130.46967
    6      2   8      2  10      3  10      3   8  0.24548 3127.15328
    7      2  17      2  19      3  19      3  17  0.22721 3132.68286
    8      2   2      2   4      3   4      3   2  0.22696 3129.95518
    9      2   5      2   7      3   7      3   5  0.22514 3132.25882
   10      2  14      2  16      3  16      3  14  0.22426 3131.76102
   11      2  18      2  20      3  20      3  18  0.21754 3131.01670
   12      2  22      2  24      3  24      3  22  0.22150 3132.06686
   13      2  12      2  14      3  14      3  12  0.20541 3134.31320
   14      2   1      2   3      3   3      3   1  0.21614 3130.41682
   15      2   6      2   8      3   8      3   6  0.20611 3133.21158
   16      2  19      2  21      3  21      3  19  0.22505 3130.53693
   17      2  23      2  25      3  25      3  23  0.22662 3131.67249
   18      2  15      2  17      3  17      3  15  0.22768 3130.80183
   19      2  16      2  18      3  18      3  16  0.22147 3129.33364
   20      2  21      2  23      3  23      3  21  0.22330 3131.07671
   21      2  11      2  13      3  13      3  11  0.20105 3135.17336
   22      2  13      2  15      3  15      3  13  0.22147 3133.05372
   23      2   3      2   5      3   5      3   3  0.22950 3131.12147
   24      1   4      1   6      3   6      3   4  1.36850 3132.15121
   25      1   9      1  11      2  11      2   9  1.76633 3126.46147
   26      1   5      1   7      2   7      2   5  1.42058 3131.23111
   27      1  10      1  12      3  12      3  10  1.58185 3127.18217
   28      1   7      1   9      3   9      3   7  1.43569 3131.54436
   29      1   2      1   4      2   4      2   2  1.35218 3131.59894
   30      1  16      1  18      3  18      3  16  1.37847 3132.85273
   31      1  17      1  19      3  19      3  17  1.41352 3130.43920
   32      1  16      1  18      2  18      2  16  1.39705 3132.15097
   33      1  18      1  20      3  20      3  18  1.39104 3130.86481
   34      1  15      1  17      3  17      3  15  1.35907 3131.78430
   35      1  12      1  14      3  14      3  12  1.41192 3132.07189
   36      1   6      1   8      3   8      3   6  1.38889 3133.69487
   37      1  10      1  12      2  12      2  10  1.61722 3125.74980
   38      1  18      1  20      2  20      2  18  1.38411 3129.68529
   39      1  22      1  24      2  24      2  22  1.35908 3132.98714
   40      1  14      1  16      2  16      2  14  1.36952 3131.34725
   41      1  12      1  14      2  14      2  12  1.43756 3131.08674
   42      1  19      1  21      3  21      3  19  1.42289 3131.86132
   43      1   5      1   7      3   7      3   5  1.39000 3132.47892
   44      1  14      1  16      3  16      3  14  1.39880 3131.16588
   45      1   6      1   8      2   8      2   6  1.41333 3128.98186
   46      1  13      1  15      3  15      3  13  1.35755 3131.93666
   47      1  21      1  23      3  23      3  21  1.38098 3131.44193
   48      1  11      1  13      3  13      3  11  1.48112 3129.57463
   49      1   3      1   5      2   5      2   3  1.42791 3132.25879
   50      1  23      1  25      2  25      2  23  1.39699 3132.20485
   51      1   4      1   6      2   6      2   4  1.39920 3131.07065
   52      1  21      1  23      2  23      2  21  1.39414 3132.71148
   53      1   9      1  11      3  11      3   9  1.75402 3124.51284
   54      1   7      1   9      2   9      2   7  1.50293 3128.24633
   55      1   8      1  10      2  10      2   8  1.68152 3125.74624
