El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,TM1
Mixed / non conventional,0,2,7,8,30.79,0.72,2.52,9.85,-5.627,74.203,8.93,2.37,2.01,7.83,2.55,1.9,9.37,3.11,3.35,4.89,11.29,-3.55,-5.89,-6.07,-8.25,2.23,-10.96,2.87,13.67,8.75,40
Mixed / non conventional,0,2,8,9,38.25,0.29,-0.84,11.97,-4.481,74.203,-2.64,-14.94,7.48,-3.4,-10.45,-11.59,-10.77,6.21,-1.19,-4.56,-6.44,3.98,-2,4,-3.95,-4.42,16.51,2.41,8.56,10.39,40
Mixed / non conventional,0,2,9,10,36.66,0.12,3.22,4.41,-2.92,74.203,9.19,27.84,4.27,3.42,-24.47,4.55,11.87,12.53,8.61,-4,11.63,-0.67,10.7,-13.49,-2.12,1.6,-15.53,-2.15,14.77,5.83,40
Mixed / non conventional,0,2,10,11,40.43,0.42,-0.49,-6.29,-2.291,74.203,-6.32,5.86,12.6,-4.32,-18.45,-9.74,-26.61,5.47,-4.68,-7.71,-14.96,6.95,-6.2,9.04,-1.18,-6.31,22.48,-10.9,14.9,30.2,40
Mixed / non conventional,0,2,11,12,55.54,0.37,2.75,-11.31,-2.319,74.203,-10.79,9.25,10.79,-0.3,-18.18,-6.22,8.38,-5.87,18.92,7.35,8.88,15.86,12.82,-11.24,-2.72,5.48,-15.44,6.96,17.73,3.42,40
Mixed / non conventional,0,2,12,13,65.59,0.78,-2.43,9.97,-2.077,74.203,12.23,-1.3,2.87,-7.08,-10.09,-0.72,-37.21,-6.09,2.57,-39.95,-22.62,4.77,2.61,19.89,5.88,-17.51,38.28,3.34,-21.25,22.77,40
Mixed / non conventional,0,2,13,14,62.91,2,4.36,-14.79,-1.546,74.203,19.66,18.88,6.75,-13.83,-42.9,15.68,16.1,11.54,0.09,2.73,13.26,9.03,-2.25,-14.97,-20.93,1.64,13.94,-6.97,33.09,26.67,40
Mixed / non conventional,0,2,14,15,66.22,6.94,-0.07,-12.2,-1.289,74.203,48.61,-9.03,6.94,88.89,-9.72,-25.69,4.86,-11.11,-27.08,8.33,9.72,-14.58,-6.25,-65.28,-20.14,-7.64,-20.14,-15.97,48.61,15.28,40
Mixed / non conventional,0,2,15,16,92.66,5.67,12.36,37.76,-1.346,68.745,9.44,38.07,-38.03,-2.42,-4.78,26.72,-7.45,-11.34,4.45,77.03,88.05,45.14,27.55,26.36,24.32,-21.68,-16.08,-20.14,7.88,-5.8,40
Mixed / non conventional,0,2,16,17,52.46,12.81,-31.33,-43.52,-0.623,68.745,-114.72,-16.61,116.65,-12.75,20.93,3.48,-47.65,-32.3,49.34,-96.22,-183.24,-154.09,-162.88,-27.5,-4.33,9.98,51,131.8,-91.89,-65.61,40
