El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,TM1
Mixed / non conventional,4,6,16,17,47.75,11.86,-10.67,-48.28,-0.544,26.711,45.56,20.76,-71.07,-140.34,51.61,126.21,28.85,85.55,39.28,-36.44,9.97,-115.92,-154.29,-20.75,43.65,-145.02,-40.39,102.48,-13.62,-29.43,40
Mixed / non conventional,4,6,17,18,61.49,13.88,4.9,28.97,-0.544,26.711,-44.94,-88.21,-44.33,17.48,34.71,108.68,-0.79,21.24,101,-1.62,-5.27,100.41,1.84,0.32,37.68,-19.22,-27.34,-6.07,-65.09,-22.47,40
Mixed / non conventional,4,6,21,22,85.56,25.76,-68.57,7.73,-0.301,24.573,52.84,111.79,-195.88,-155.68,193.04,54.4,-318.32,-139.2,38.21,355.11,-225.99,103.84,-170.6,-86.51,-102.41,-106.11,-402.27,-13.92,-316.62,-47.16,40
Mixed / non conventional,4,6,22,23,104.64,28.04,0.33,0.65,-0.308,24.573,140.34,94.03,140.34,-98.58,-130.26,-143.61,35.8,-32.24,14.2,-238.21,-36.22,-89.35,-24.43,32.95,-38.64,-10.65,381.82,95.03,101.14,-186.93,40
Mixed / non conventional,4,6,23,2,338.84,0,-299.99,39.46,-339.499,24.573,-992.19,-1005.77,-1000.73,-978.94,-945.85,-906.18,-863.8,-820.14,-776.14,-733.45,-693.44,-654.44,-616.73,-581.51,-548.19,-516.66,-487.48,-459.57,-433.2,-408.41,40
Mixed / non conventional,4,6,2,3,217.93,0,-299.99,62.51,-355.117,24.573,-988.2,-1011.28,-1003.62,-977.66,-941.4,-899.71,-855.71,-811.35,-767.49,-725.25,-684.71,-645.74,-609.02,-574.31,-541.43,-510.46,-481.32,-454.2,-428.26,-403.97,40
Mixed / non conventional,4,6,3,4,-73.7,0,-299.99,66.01,-336.28,24.573,-1069.56,-1074.44,-1047.75,-1007.21,-960.68,-912.43,-863.76,-816.22,-770.52,-727.08,-685.73,-646.42,-609.31,-574.14,-541.37,-510.47,-481.02,-453.71,-428.3,-404.28,40
Mixed / non conventional,4,6,4,5,144.08,0,-299.99,50.75,-281.738,24.573,-1385.04,-1285.88,-1187.61,-1099.08,-1020.23,-950.19,-887.37,-830.91,-778.97,-731.57,-687.91,-647.39,-609.27,-573.94,-540.94,-509.96,-480.57,-453.16,-427.4,-403.54,40
Mixed / non conventional,4,7,6,5,42,19.93,6.18,-82.97,-139.722,20.902,7.78,7.24,7.91,8.82,7.61,6.26,6.37,7.41,6.15,5.66,5.8,5.85,5.36,4.84,5.32,5.01,5.41,5.61,4.97,4.15,40
Mixed / non conventional,4,7,5,23,33.41,0.63,-0.14,-186.46,56.674,20.902,-1.36,-1.17,1.56,2.18,1.65,-0.61,-1.42,0.99,-0.41,0.57,-1.08,-1.7,-0.19,-0.36,0.68,-0.98,0.39,0.85,-1.09,-1.36,40
Mixed / non conventional,4,7,23,22,86.59,8.57,-7.45,-0.51,0.358,20.902,-52.18,-68.81,-2.8,118.49,-30.55,-65.3,-31.45,50.18,-44.17,-36.96,-15.22,53.29,11.92,-31.15,-86.54,-4.61,46.07,90.44,-33.45,-16.23,40
Mixed / non conventional,4,7,22,21,90.75,14.42,4.21,-7.47,0.451,20.902,20.44,53.78,42.45,-142.45,-26.37,101.95,-60.55,-17.25,41.8,157.55,-35.94,-28.91,34.51,140.04,86.39,-46.88,-50.98,-77.6,-79.82,-27.93,40
Mixed / non conventional,4,7,21,20,61.54,13.26,-12.56,-12.84,0.372,20.902,16.83,-57.69,-92.55,16.83,-34.86,-20.43,57.69,-63.7,22.84,18.03,33.65,-8.41,-57.69,-14.42,-48.08,-137.02,2.4,7.21,57.69,50.48,40
Mixed / non conventional,4,7,20,19,92.08,11.17,-9.02,-12.1,0.687,20.902,30.57,31.55,-5.28,-124.95,20.04,101.57,27.32,-83.84,-68.07,69.81,17.43,-18.99,40.75,11.23,15.16,-43.78,-59.44,-38.44,-37.89,-65.12,40
Mixed / non conventional,4,7,19,18,93.28,8.86,-7.06,25.82,0.873,20.902,7.29,15.31,-32.78,-24.18,3.26,26.55,-36.22,-6.54,1.65,13.89,-10.8,-16.4,15.57,-0.13,5.46,-30.75,12.23,25.39,-43.72,-66.28,40
Mixed / non conventional,4,7,18,17,59.85,13.5,-8.65,-28.51,0.716,20.902,66.21,41.92,-20.23,-78.71,7.16,64.56,-18.29,-96.51,-36.81,52.18,-7.16,-86.98,33.49,21.63,-20.83,-47.51,-11.45,-2.96,-24.1,-8.51,40
Mixed / non conventional,4,7,17,16,47.61,1.75,-8.89,49.01,0.744,20.902,5.41,-19.83,-34.25,10.22,-29.45,-28.85,-4.21,22.24,36.06,-54.09,-19.23,9.62,-55.89,-36.06,-26.44,-15.63,42.07,46.27,0,-25.84,40
Mixed / non conventional,4,7,16,15,78.1,5.79,-2.19,-39.03,1.64,20.902,3.04,12.08,15.87,2.7,-6.52,1.55,-24.86,-31.85,-6.02,-1.19,-6.76,-43.52,-18.5,16.15,12.6,8.2,21.04,24.6,-7.35,-15.06,40
Mixed / non conventional,4,7,8,9,48,0.04,0.06,-65.6,-73.635,21.419,0.07,-0.38,0.6,0.29,0.61,1.6,0.87,-0.16,-0.37,-0.93,-0.09,0.48,-1.17,-0.2,0.06,0.51,-0.19,0.23,-0.07,-0.64,40
Mixed / non conventional,4,7,9,10,24.48,0.25,0.55,3.25,-11.129,21.419,4,-0.43,3.54,-2.19,-8.14,-5.65,-3.52,3.07,1.3,0.65,-1.02,1.85,6.85,10.15,-0.66,-2.59,3.05,0.88,-1.46,1.36,40
Mixed / non conventional,4,7,10,11,26.11,0.2,-0.12,-7.45,-5.298,21.419,-2.36,-0.53,-0.84,3.38,1.54,-5.74,0.33,1.86,-3.53,-2.84,2.54,-2.37,0.17,0.49,2.03,-2.03,1.87,0.52,1.33,1.85,40
Mixed / non conventional,4,7,11,12,37.63,0.37,2.66,-13.47,-4.123,21.419,-1.43,-17.46,2.31,9.86,-5.76,6.16,8.6,6.16,1.51,-20.67,-0.49,10.21,-1.3,21.24,13.7,12.36,4.01,5.42,-6.98,5.81,40
Mixed / non conventional,4,7,12,13,47.73,0.79,1.65,11.29,-3.164,21.419,6.5,11.25,11.83,-0.35,-0.82,-12.77,-10.95,-7.08,-3.68,9.06,12.44,11.05,-6.16,0,20.14,7.73,3.45,-3.9,-2.84,-11.89,40
Mixed / non conventional,4,7,13,14,47.63,5.69,0.51,-19.19,-2.062,21.419,-5.6,-28.2,11.41,15.58,-18.75,-7.42,0.8,19.73,0.14,-18.99,-13.73,32.28,3.93,21.73,-23.3,23.95,-3.52,-5.61,3.89,1.94,40
Mixed / non conventional,4,7,14,15,52.21,0.6,0.42,-9.42,-1.56,21.419,0.55,26.34,28,22.94,16.16,-16.67,0.67,-0.57,24.58,6.31,-45.76,-18.95,12.67,-9.79,-16.66,-25.81,-6.32,-12.08,13.76,9.11,40
Mixed / non conventional,4,7,15,16,77.19,3.9,-5.27,39.77,-1.661,21.419,-10.56,-49.1,10.45,3.43,-37.55,-10.93,-8.4,13.47,7.16,-36.17,-38.93,10.78,-9.26,34.46,1.06,43.53,30.12,-7,-34.04,-17.86,40
Mixed / non conventional,4,7,16,17,47.35,3.42,-21.82,-48.62,-0.759,21.419,-2.14,-0.18,6.01,-3.34,-67.26,-1.69,-2.8,-83.82,-27.15,-44.56,-19.81,-19.05,-29.6,-22.66,-36.73,15.49,-44.56,-55.42,-1.74,4.59,40
Mixed / non conventional,4,7,17,18,59.59,16.4,-13.4,29.38,-0.731,21.419,-65.1,-112.21,10.1,-41.39,-20.96,-78.46,23.94,48.85,-2.07,-101.25,-75.77,38.22,11.49,52.4,42.16,33.46,-17.6,23.65,-14.28,-23.27,40
Mixed / non conventional,4,7,10,13,33.4,0.16,-3.97,-10.32,-11.914,20.171,-7.13,-13.48,1.65,6.72,-13.56,-10.43,1.01,-14.81,-14.87,-15.25,-14.65,-4.51,-5.33,9,4.2,4.93,6.22,-9.48,6.8,3.58,40
Mixed / non conventional,4,7,13,18,56.02,1.06,8.33,-9.91,-6.488,20.171,7.7,12.45,-6.94,-10.77,27.01,16.93,-15.64,33.36,25.22,19.3,10.26,10.8,20.13,5.74,-11.19,-7.9,5.96,15.45,9.01,-0.36,40
Mixed / non conventional,4,7,18,19,95.1,7.71,7.19,-25.28,-0.859,20.171,36.46,38.54,39.58,34.38,-44.79,-39.58,29.17,25,29.17,-13.54,-40.63,-17.71,26.04,48.96,32.29,-37.5,18.75,4.17,-17.71,-7.29,40
Mixed / non conventional,4,7,19,20,91.44,2.04,0.95,12.63,-0.659,20.171,8.15,-36.68,-122.28,-115.49,16.3,36.68,-12.23,42.12,38.04,-27.17,-133.15,21.74,139.95,144.02,-46.2,-32.61,69.29,10.87,44.84,-27.17,40
Mixed / non conventional,4,7,20,21,61.32,23.89,9.71,13.33,-0.358,20.171,183.49,46.27,35.46,14.22,85.74,32.65,227.76,-21.43,162.06,143.43,104.57,-59.7,-65.3,-58.69,-128,-57.29,-219.35,-66.31,-109.38,-56.09,40
Mixed / non conventional,4,7,21,22,86.57,5.71,-15.5,7.92,-0.415,20.171,-80.06,-318.75,-319.05,30.8,6.25,67.86,-71.28,-90.18,42.11,27.38,-62.2,60.42,102.53,163.39,-182.89,43.6,152.08,-12.35,109.08,21.28,40
Mixed / non conventional,4,7,22,23,89.7,5.74,-19.02,1.09,-0.358,20.171,-73.32,-188.7,-54.89,-1.8,-51.68,-35.26,-32.85,-25.84,44.67,72.72,6.01,33.05,-51.28,66.31,-76.32,51.48,-103.57,-12.42,49.48,3.81,40
Mixed / non conventional,4,7,23,2,-50.08,0,999.99,-265.29,49.822,20.171,12489.97,9437.8,7171.15,5475.03,4193.04,3218.12,2465.84,1900.21,1460.97,1127.06,861.07,653.55,497.16,374.65,282.73,205.67,149.09,111.91,69.81,41.63,40
Mixed / non conventional,4,7,2,3,-29.18,0,999.99,-247.8,42.15,20.171,14016.99,10610.79,8080.97,6176.87,4735.51,3641.82,2809.93,2166.23,1675.68,1293.18,1000.36,770.78,590.76,452.21,342.9,257.93,190.59,135.1,95.87,63.17,40
Mixed / non conventional,4,7,3,4,0.19,649.99,350,-35.51,0.659,20.171,-33688.57,-26723.7,-20767.21,-16013.93,-12486.54,-9755.68,-7610.34,-5915.76,-4613.43,-3647.3,-2848.58,-2173.18,-1704.01,-1369.66,-1100.55,-792.33,-669.27,-574.6,-448.7,-403.56,40
Mixed / non conventional,4,7,4,5,1.99,0,-299.99,-7.19,-5.069,19.25,-2882.14,-1650.44,-1269.47,-1108.16,-1052.63,-974.99,-921.18,-886.91,-811.67,-765.93,-714.2,-685.33,-645.55,-618.64,-562.93,-501.34,-493.44,-471.46,-397.78,-408.58,40
Mixed / non conventional,4,8,5,6,34.25,0.16,0.28,-27.11,177.542,48.851,1.7,0.66,1.13,1.76,-0.19,-0.53,0.45,0.09,0.09,0.76,-0.9,0.95,1.08,0.48,-0.14,1.67,-0.12,-0.34,-2.11,-0.92,40
Mixed / non conventional,4,8,6,7,42.41,2.33,1.56,-404.65,219.822,48.851,3.14,2.84,2.32,1.96,2.45,2.49,2.34,2.49,1.86,0.81,2.22,0.49,0.16,0.37,0.9,-0.41,0.9,0.78,1.84,1.2,40
Mixed / non conventional,4,8,7,9,-32.65,14.59,4.58,216.31,-33.847,48.851,16.08,14.31,12.72,12.49,7.78,4.49,6.27,4.07,3.63,3.38,2.31,6.48,5,1.44,-1.02,1.91,-2.16,-1.75,-3.49,-2.4,40
Mixed / non conventional,4,8,9,10,27.93,0.04,1.64,20.86,-101.335,48.851,2,2.89,2.17,1.36,2.2,2.16,1.34,1.99,2.21,1.32,1.95,1.28,1.35,1.63,1.86,1.35,1.86,0.46,0.21,1.29,40
Mixed / non conventional,4,8,10,11,23.99,0.13,0.94,-3.12,-26.641,48.851,1.05,1.99,0.62,3.69,1.55,0.08,1.95,4.02,3.23,-0.26,2.17,2.55,-0.3,-1.25,-0.16,0.56,0.49,-0.07,-2.93,-0.11,40
Mixed / non conventional,4,8,11,12,32.03,0.34,2.4,-10.38,-16.308,48.851,-1.7,9.07,1.03,-0.13,4.75,4.84,2.73,12.11,9.54,-0.68,4.02,4.94,2.64,2.67,4.22,-2.47,2.55,-2.63,-10.2,0.63,40
Mixed / non conventional,4,8,12,13,41.3,0.26,1.6,13.24,-11.595,48.851,4.68,0.52,4.19,-0.34,3.09,-2.31,2.88,10.62,3.18,4.38,4.84,2.8,-4.82,-4.9,-1.87,0.39,2.48,2.43,0.3,-0.52,40
Mixed / non conventional,4,8,13,14,42.11,0.26,2.72,-18.17,-7.275,48.851,-4.82,16.63,-4.56,-8.27,7.97,5.43,-8.9,8.77,6.71,2.14,6.54,2.48,4.78,5.65,15.73,3.08,3.51,5.23,-9.98,-3.81,40
Mixed / non conventional,4,8,14,15,46.79,2.24,2.93,-8.18,-5.355,48.851,-0.26,-3.93,5.39,-3.24,0.41,9.17,4.32,8.54,8.21,1.52,13.08,7.42,-2.19,3,-10.12,-4.62,-0.34,7.42,8.13,6.69,40
Mixed / non conventional,4,8,15,16,70.6,0.17,2.25,40.82,-5.644,48.851,-4.3,13.41,5.46,-3.42,0.95,0.07,-9.12,12.11,11.32,-0.63,-1.32,0.12,-1.24,9.92,3.29,2.48,-5.3,6.2,1.31,3.61,40
Mixed / non conventional,4,8,16,17,42.83,5.97,-6.26,-48.5,-3.423,67.136,22.54,-34.6,16.29,41.95,-3.71,-25.37,-19.27,-21.13,-30.02,-32.41,-21.1,-3.53,-32.34,-18.69,18.92,27.55,-22.63,-4.43,-3.08,19.78,40
Mixed / non conventional,4,8,17,18,55.37,0.46,3.96,28.95,-3.323,67.136,7.6,18.84,-9.83,-48.55,14.82,10.75,14.13,14.98,-7.23,6.27,15.98,19.17,12.16,10.01,-4.1,-35.44,26.93,14.57,7.29,-9.14,40
Mixed / non conventional,4,8,18,19,87.44,1.37,2.74,-24.97,-4.045,67.136,7.63,6.38,2.86,12.58,8.03,5.62,-6.94,-5.03,7.61,1.25,1.66,-5.68,-2.09,-1.33,-2.84,7.01,4.76,7.87,0.86,4.63,40
Mixed / non conventional,4,8,19,20,85.09,5.55,0.99,12.95,-3.1,67.136,23.59,-1.45,-9.27,-27.33,16.01,1.55,15.38,3.03,-33.87,-11.72,3.36,19.42,-10.28,3.58,-0.93,-7.83,10.68,14.68,8.87,2.24,40
Mixed / non conventional,4,8,20,21,58.56,1.67,1.16,13.48,-1.711,67.136,-7.79,15.73,-12.38,-6.47,3.33,16.58,-2.9,-7.9,-9.01,3.34,-7.94,-13.18,20.81,5.49,-18.84,10.4,9.95,1.23,12.51,10.19,40
Mixed / non conventional,4,8,21,22,85.46,9.94,1.35,8.14,-2.033,67.136,40.06,-7.9,-4.55,-18.95,13.45,3.12,9.61,-3.43,-24.68,-41.65,-9.97,34.5,-29.6,-12.96,5.06,12.47,26.74,19.52,-9.06,25.12,40
Mixed / non conventional,4,8,22,23,84.92,4.77,-5.49,1.22,-1.668,67.136,-0.37,12.09,-6.97,-29.93,-7.38,21.2,-11.35,-9.12,-22.49,-11.1,-16.11,-16.02,-23.77,6.72,-1.21,12.56,-9.66,0.37,1.67,1.16,40
Mixed / non conventional,4,8,23,5,33.13,0.07,-0.09,178.02,-240.953,67.136,0.27,-0.17,-0.23,-0.23,0.11,-0.07,-0.01,-0.01,-0.42,-0.5,-0.06,0.22,-0.24,0.02,-0.2,-0.23,0.01,-0.01,-0.06,-0.04,40
Mixed / non conventional,4,9,5,6,34.68,0.05,0.29,-11.06,255.917,79.479,0.89,1.54,0.68,0.65,0.23,0.93,0.14,-0.02,-0.14,-0.25,-0.31,0.3,0.14,0.05,-0.25,-0.15,0.05,0.41,0.5,0.36,40
Mixed / non conventional,4,9,6,7,30.33,0.65,0.48,-269.25,127.886,79.479,0.83,0.12,0.91,0.37,0.47,-0.68,0.89,1.63,1.04,1.38,1.44,0.73,-0.13,-0.14,0.96,-0.02,0.01,-0.33,0.31,-0.22,40
Mixed / non conventional,4,9,7,8,30.01,12.46,4.22,267.92,221.407,79.479,5.83,5.26,5.21,4.95,4.71,4.39,4.63,4.28,4.5,4.37,4.28,3.92,3.86,3.78,3.91,3.54,3.45,3.24,3.14,3.17,40
Mixed / non conventional,4,9,8,10,176.85,14.66,-3.61,-155.52,186.421,79.479,-3.26,-3.09,-3.57,-3.53,-3.81,-3.71,-3.66,-3.67,-3.54,-3.82,-3.76,-3.19,-4.05,-3.92,-3.64,-4.03,-3.66,-3.6,-2.92,-3.72,40
Mixed / non conventional,4,9,10,11,46.88,0.01,1,1.5,-282.398,79.479,2.02,1.68,1.53,1.46,1.31,1.15,0.99,1.23,0.83,0.97,0.74,0.83,0.69,0.64,0.86,0.57,0.65,0.57,0.78,0.46,40
Mixed / non conventional,4,9,11,12,35.56,0.02,0.87,-10.87,-66.934,79.479,2.09,1.42,1.87,0.96,1.22,0.53,0.9,-0.45,0.52,1.06,0.77,-0.25,1.16,1.03,0.23,1.93,0.88,1.62,-1.02,0.98,40
Mixed / non conventional,4,9,12,13,39.84,0.16,0.67,12.37,-34.999,79.479,1.55,1.54,0.49,0.26,0.77,0.08,0.49,1.85,1.24,0.81,-1.18,-0.1,0.07,0.13,0.79,1.15,0.76,0.21,0.97,1.41,40
Mixed / non conventional,4,9,13,14,39.39,0.34,-0.03,-18.83,-19.376,79.479,4.92,-1.92,0.28,-0.53,-1.34,-1.87,0.1,-2.7,1.02,0.72,1.38,-7.06,1.69,2.65,-3.12,6.91,1.58,1.39,-5.17,0.43,40
Mixed / non conventional,4,9,14,15,44.03,0.09,1.59,-8.46,-13.501,79.479,5.59,1.86,4.18,0.43,1.39,4.96,2.94,2.91,2.86,1.14,-0.13,2.74,-0.66,-0.13,-3.33,0.98,-0.08,0.37,1.79,1.98,40
Mixed / non conventional,4,9,15,16,67.94,0.37,1.22,40.38,-13.952,79.479,6.76,4.14,-1.98,0.09,1.93,2.19,1.2,3.42,1.02,-2.3,-2.75,-5.79,5.47,1.19,-2.97,7.22,3.41,1.08,-0.25,1.29,40
Mixed / non conventional,4,9,16,17,42.05,0.7,5.95,-48.89,-6.473,84.497,20.89,-7.6,27.23,-4.26,8.7,-0.31,-23.59,25.2,1.23,-35.66,7.6,14.97,1.97,7.61,13.57,12.7,7.42,25.55,4.83,10.94,40
Mixed / non conventional,4,9,17,18,53.67,1.23,-6.12,29.07,-6.058,84.497,-27.9,-3.55,-26.12,3.95,-6.62,-12.39,19.41,-25.28,-4.68,26.39,7.4,-10.58,3.33,7.38,-5.93,-6.52,-12.68,-49.18,6.8,-5.59,40
Mixed / non conventional,4,9,18,19,85.18,0.87,1.92,-25.03,-7.273,84.497,6.41,1.36,7.63,3.82,7.88,6.03,2.09,2.71,-2.59,-3.32,-3.57,-2.58,0.74,-4.55,-3.81,5.29,2.96,3.57,4.8,3.57,40
Mixed / non conventional,4,9,19,20,83.88,0.33,-3.31,12.89,-5.555,84.497,-10.77,-16.57,-7.4,-1.29,0.8,-0.31,8.68,-0.32,-14.93,-6.96,-3.87,4.97,10.29,7.89,-4.83,-4.36,-15.99,-18.22,8.86,-1.92,40
Mixed / non conventional,4,9,20,21,58.15,1.22,7.5,13.49,-3.049,84.497,15.83,17.02,16.43,19.97,5.6,2.94,12.05,14.41,10.87,9.67,8.21,-11.73,14.68,2.95,1.18,8.52,7.36,3.81,-11.16,1.45,40
Mixed / non conventional,4,9,21,22,85.72,1.2,-2.65,8.08,-3.622,84.497,-15.8,-13.34,4.18,3.7,6.19,-9.88,-3.7,10.39,-19.47,-15.84,-10.85,2.45,7.64,9.88,11.62,2.93,-15.63,-9.42,2.46,-0.46,40
Mixed / non conventional,4,9,22,23,84.89,1.75,0.18,1.15,-2.934,84.497,9.46,-0.63,11.3,-11.59,-8.52,-7.02,-18.57,18.97,-1.84,-12.82,-2.13,12.23,2.43,-11.55,9.49,4.27,3.66,7.63,-3.67,2.43,40
Mixed / non conventional,4,9,23,5,33.66,0.03,0.14,164.29,-348.007,84.497,0.36,0.25,0.33,0.3,0.26,0.05,0.11,0.28,0.28,-0.01,0.13,0.12,0.24,0.09,0.11,0.05,-0.11,-0.12,0.12,-0.06,40
Mixed / non conventional,5,6,7,8,55.84,0.89,0.22,167.37,-120.533,40.688,0.51,0.88,0.27,0.57,0.36,1.2,0.71,-0.31,0.36,-1.2,-0.04,-0.6,-0.47,-0.72,0.88,0.84,0.98,0.8,-0.64,-0.02,40
Mixed / non conventional,5,6,8,9,26.51,185.44,-114.55,81.84,-14.308,40.688,-216,-216.73,-207.2,-201.67,-188.46,-191.97,-185.28,-168.81,-169.47,-158.76,-170.18,-153.86,-142.06,-145.85,-157.1,-147.06,-145.71,-141.16,-123.88,-125.72,40
Mixed / non conventional,5,6,9,10,35.49,314.71,14.72,-155.98,-7.66,40.688,-74.54,-77.91,-81.44,-73.8,-82.43,-80.44,-74.87,-83.05,-85.93,-86.44,-83.67,-77.23,-89.11,-73.41,-76.66,-83.23,-81.63,-73.21,-71.64,-85.66,40
Mixed / non conventional,5,6,10,11,25.73,1.46,5.6,-7.89,-2.777,40.688,7.43,18.37,-4.76,10,33.26,14.95,17.45,25.82,38.36,-5.31,-6.86,-12.58,26.06,-13.86,-12.28,5.77,-7.03,-17.36,-7.69,2.37,40
Mixed / non conventional,5,6,11,12,37.6,1.16,2.62,-13.33,-2.319,40.688,2.31,-0.77,10.42,7.72,1.93,-13.5,7.72,-1.93,-11.96,-9.65,-8.1,8.1,-14.66,10.8,16.2,-3.09,-4.63,7.72,33.18,14.66,40
Mixed / non conventional,5,6,12,13,47.17,0.3,-4.08,11.22,-1.818,40.688,-15.87,14.08,-10.14,0.57,9.53,22.63,-23.98,17.32,33.19,-14.48,-22.38,-5.7,8.41,-10.24,-8.82,14.77,-7.21,-42.76,-11.45,-29.02,40
Mixed / non conventional,5,6,13,14,47.35,2.03,5.67,-19.81,-1.217,40.688,-27.84,-11.92,-2.32,-2.21,-24.14,-14.78,5.05,-2.46,24.17,28.67,25.66,24.97,21.44,4.36,-16.27,41.29,42.69,-24.19,-5,26.32,40
Mixed / non conventional,5,6,14,15,50.95,2.08,14.96,-8.74,-0.917,40.688,26.48,71.27,-69.19,2.78,-19.18,27.19,-26.88,81.23,100.5,5.32,-30.82,-8.77,60.12,5.83,-68.15,-8.77,41.88,-12.95,94.3,26.97,40
Mixed / non conventional,5,6,15,16,75.51,6.12,18.25,39.7,-0.988,40.688,11.55,24.55,-24.4,54.44,37.13,84.06,21.69,-7.38,15.36,35.4,30.83,2.39,22.58,50.45,25.47,-47.32,-24.16,14.57,29.78,8.06,40
Mixed / non conventional,5,6,16,17,43.8,0.54,-6.6,-48.9,-0.43,40.688,11.72,9.77,-38.78,51.9,3.63,41.02,-54.69,32.09,-87.05,-13.67,-47.99,43.81,29.85,-45.48,-84.26,93.19,-5.58,-23.72,-8.37,-39.34,40
Mixed / non conventional,5,6,17,18,53.9,79.3,87.04,31.02,-0.394,39.387,2.15,-39.15,-28.59,-103.02,233.26,549.36,528.5,192.31,-69.28,630.67,218.23,430.37,433.55,-139.85,110.32,-37.43,-328.13,-548.16,156.59,-450.81,40
Mixed / non conventional,5,6,18,19,98.55,74.2,1.18,-26.95,-0.566,39.387,-28.7,162.46,139,232.12,-104.02,-199.88,-264.3,-146.24,-147.76,-390.64,-43.5,-207.19,-295.2,84.92,81.55,74.46,301.28,451.23,-11.4,335.36,40
Mixed / non conventional,5,6,19,20,87.3,5.08,-54.19,13.06,-0.401,39.387,11.16,-80.36,-198.66,-231.03,-24.55,-92.63,-145.09,-71.43,89.29,-20.09,-127.23,-85.94,45.76,40.18,-204.24,22.32,-34.6,-6.7,0,30.13,40
Mixed / non conventional,5,6,20,21,55.64,45.95,52.73,13.29,-0.208,39.387,-25.11,42.97,161.55,335.66,-114.68,36.55,113.84,-75.61,-167.41,-175.5,61.94,57.2,110.49,-34.32,158.2,87.33,37.67,149,228.79,66.13,40
Mixed / non conventional,5,6,21,22,83.85,17.5,-23.7,7.82,-0.258,39.387,-17.36,-65.97,-157.99,-147.57,8.68,-24.31,-19.1,-43.4,109.37,29.51,19.1,-39.93,105.9,-8.68,-208.33,-111.11,-52.08,0,31.25,118.06,40
Mixed / non conventional,5,6,22,23,78.28,62.4,110.49,1.31,-0.2,39.387,62.5,111.61,337.05,301.34,22.32,180.8,136.16,-122.77,-323.66,37.95,-78.13,279.02,156.25,-2.23,408.48,37.95,165.18,131.7,147.32,220.98,40
Mixed / non conventional,5,7,9,11,24.34,0.8,1.51,-121.69,-18.831,29.168,4.13,0.41,-1.5,-1.92,1.16,1.73,3.84,2.72,4.49,2.15,-2.26,0.52,5.08,6.78,3.76,-0.61,-2.01,-0.63,-0.44,2.89,40
Mixed / non conventional,5,7,11,12,35.81,0.5,1.61,-14.54,-4.354,29.168,-2.47,19.36,25.8,-1.65,7.29,-7.54,5.27,14.73,-2.51,-5.54,26.05,-22.09,-19.92,-19.09,0.57,-1.27,0.41,-0.52,16.11,-0.85,40
Mixed / non conventional,5,7,12,13,45.64,0.82,-0.69,10.92,-3.279,29.168,1.08,6.01,0.31,-8.74,-0.26,-1.58,-8.16,-2.08,-10.61,-1.48,-6.51,9.01,3.02,-4.35,1.13,4.91,-2.19,-2.23,10.69,-1.67,40
Mixed / non conventional,5,7,13,14,45.7,2.27,6.23,-20.22,-2.105,29.168,9.44,26.23,20.07,-25.42,20.45,-12.88,38.11,49.31,2.64,-9.97,2.26,-1.72,9.91,-1.46,27.07,18,-35.57,-32.66,12.17,8.66,40
Mixed / non conventional,5,7,14,15,50.28,3.52,3.46,-9,-1.575,29.168,-10.89,-9.86,36.69,22.22,8.12,11.86,-4.11,0.45,-12.05,15.91,12.5,29.8,-18.37,-2.38,1.78,0.25,7.38,16.47,-34.14,-2.46,40
Mixed / non conventional,5,7,15,16,73.28,1.89,7.82,39.66,-1.632,29.168,6.12,13.26,65.19,-17.49,20.36,-7.95,55.82,69.79,12.49,-5.16,-26.44,-13.68,11.89,-4.52,17.4,27,-20.42,-48.18,26.02,-25.13,40
Mixed / non conventional,5,7,16,17,44.48,8.34,5.72,-49.27,-0.73,29.168,-14.95,12.12,15.91,7.21,-30.77,-8.7,17.4,97.69,8.99,35.05,-5.91,-27.93,-2.98,-27.26,29.13,30.14,86.59,-19.86,-55.24,-32.26,40
Mixed / non conventional,5,7,17,18,56.39,11.72,33.47,29.76,-0.702,29.168,78.23,32.76,121.41,-41.3,-7.66,-68.13,151.82,202.86,88.33,-4.48,-8.28,-17.97,67.24,43.07,44.32,25.52,-72.29,-27.55,34.11,27.29,40
Mixed / non conventional,5,7,18,19,90.39,1.74,12.57,-25.73,-0.873,29.168,-29.57,-7.33,23.66,4.4,0.2,2.92,48.69,90.63,-0.24,-8.06,4.6,47.21,29.74,5.14,-20.56,64.45,39.18,-61.59,15.32,2.69,40
Mixed / non conventional,5,7,19,20,87.98,7.9,27.56,12.88,-0.673,29.168,11.61,16.64,113.17,-44.33,79.6,24.06,136.55,154.72,67.14,-26.1,36.23,0.96,22.36,-5.83,2.89,-20.72,-72.01,7.42,3.68,43.2,40
Mixed / non conventional,5,7,20,21,56.65,12.5,27.94,13.15,-0.337,28.109,-15.39,111.27,18.94,-90.67,76.59,66.64,106.77,23.08,39.06,92.8,-9.35,102.51,108.43,-83.1,-190.22,-9.23,90.2,-29.83,43.09,107.13,40
