El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,Time,Latitude,Longitude,,,,,,,,,,,,,,,,,,TM1
Mixed / non conventional,0,3,9,4,39.96,0.01,1.45,-27.31,623.781,141.251,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,9,6,29.79,0.03,0.87,-6.62,74.537,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,6,13,33.71,0.11,0.85,1.7,-109.009,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,13,12,49.64,0.62,1.42,21.36,5.255,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,12,11,56.7,0.6,1.52,-14.72,8.06,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,11,23,69.22,0.01,1.21,12.87,-42.974,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,23,22,108.67,2.2,0.53,7.96,1.604,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,22,21,89.56,1.16,-0.46,-9.42,1.532,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,21,10,61.61,0.13,1.76,-9.64,48.447,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,10,7,31.8,0.16,1.27,-39.14,46.03,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,7,15,38.55,0.09,0.92,19.38,-78.538,141.484,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,8,17,48.15,0,0.9,5.41,-67.663,141.524,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,17,16,76.95,1.29,-9.13,-23.39,3.151,141.524,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,16,15,82.73,0.17,2.83,5.6,4.181,141.524,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,15,14,76.58,0.86,-0.76,15.33,4.853,141.524,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,14,13,69.98,0.01,3.51,-1.32,5.669,141.524,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,13,9,47.07,0.35,0.62,4.82,34.433,141.524,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,9,19,55.61,0.04,1.02,5.2,-57.23,141.524,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,19,18,90.56,0.64,-1.42,-5.34,2.535,141.524,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,17,18,67.63,11.75,-8.67,-1.44,-2.277,141.592,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,18,19,91.55,6.79,9.91,5.94,-2.564,141.592,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,19,20,88.17,2.22,1.64,-6.6,-2.076,141.592,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,20,21,79.5,5.14,-6.25,14.26,-1.589,141.592,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,2,1,69.68,0.03,2.09,-24.39,-1382.001,186.94,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,1,3,56.75,1.62,2.31,164.64,2251.341,186.94,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,3,7,42.79,5.97,3.03,-340.62,-606.178,186.94,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,7,15,34.75,0.03,0.84,19.66,-171.875,186.94,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,3,2,43.69,0.48,0.94,-55.43,-867.619,187.178,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,2,5,38.21,0,1.21,-174.94,910.74,187.178,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,5,1,52.53,0.01,1.76,156.33,-2294.98,187.178,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,3,2,43.69,0.2,0.87,-19.03,-868.85,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,2,5,38.21,0,1.18,-171.51,911.986,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,5,11,34.63,0.01,1.02,20.79,-772.763,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,11,23,66.38,0.04,1.11,13.07,-84.742,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,23,6,35.34,0.01,1.1,-21.01,341.82,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
