El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,Time,Latitude,Longitude,,,,,,,,,,,,,,,,,,TM1
Mixed / non conventional,5,9,6,7,52.02,0.03,1.12,-37.15,482.305,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,7,8,30.11,9.92,3.95,151.76,279.131,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,8,10,73.42,20.84,-6.56,-250.26,136.132,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,10,11,39.83,0.03,0.73,-10.81,-258.492,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,11,12,30.59,0.06,0.64,13.63,-60.768,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,12,13,25.9,0.36,1.4,-21.35,-23.581,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,13,14,38.91,0.03,-0.24,0.82,-19.539,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,14,15,45.18,0.93,-0.88,-16.84,-13.963,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,15,16,51.76,0.03,1.11,-4.52,-10.595,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,16,17,51.69,0.17,0.76,21.39,-7.391,87.377,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,17,18,47.82,1.3,4.44,1.32,-4.94,86.806,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,18,19,67,2.66,0.83,7.73,-5.199,86.806,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,19,20,68.47,2.39,0.86,-10.37,-4.095,86.806,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,20,21,64.44,1.96,4.67,15.42,-3.035,86.806,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,21,22,74.67,2.26,-1.31,9.3,-2.82,86.806,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,9,22,23,94.48,0.55,0.31,-7.67,-2.906,86.806,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,6,7,55.07,0.02,0.98,-81.32,664.071,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,7,8,26.4,0.5,1.08,63.38,181.925,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,8,9,42.39,7.43,4.76,-39.03,511.095,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,9,11,65.29,35.99,-19.52,-156.48,112.459,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,11,12,42.74,0,0.64,30.28,-420.683,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,12,13,26.74,0.04,1.7,-17.7,-82.239,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,13,14,37.52,0.05,0.34,3.39,-53.852,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,14,15,42.36,0.02,0.59,-15.14,-34.055,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,15,16,48.94,0.14,0.51,-3.34,-24.525,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,16,17,49.56,0.27,0.91,22.19,-16.63,129.876,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,17,18,46.04,1.32,-0.99,1.43,-10.826,129.08,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,18,19,65.61,2.14,4.01,8.59,-11.315,129.08,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,19,20,67.4,0.16,1.38,-10.02,-8.791,129.08,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,20,21,64.82,0.31,1.7,15.76,-6.557,129.08,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,21,22,74.34,0.43,1.78,9.56,-5.955,129.08,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,10,22,23,94.48,2.05,1.01,-7.36,-6.099,129.08,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,8,9,45.35,0.09,1.02,-53.66,-283.34,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,9,10,28.32,83.8,-51.81,-23.45,-44.228,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,10,11,34.05,149.81,42.1,-76.28,-21.276,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,11,12,35.98,0.21,0.63,15.81,-11.239,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,12,13,34.4,0.03,1.57,-20.53,-6.141,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,13,14,51.72,1.06,0.42,1.73,-5.77,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,14,15,59.47,0.19,-0.11,-16.38,-4.423,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,15,16,67.39,0.21,2,-4.07,-3.509,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,16,17,66.93,0.39,0.36,21.53,-2.534,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,17,18,60.53,3.46,4.04,1.89,-1.719,117.766,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,18,19,80.83,24.33,37.33,7.94,-1.776,118.426,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,19,20,82.98,23.94,-53.14,-10.97,-1.432,118.426,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,20,21,79.32,6.66,1.66,15.99,-1.095,118.426,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,21,22,86.78,4.99,10.64,9.26,-0.974,118.426,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,22,23,111.56,1.76,-1.45,-7.64,-1.031,118.426,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,10,12,23.43,0.25,0.35,-21.49,-53.987,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,12,13,25.56,0.08,4.56,-21.34,-9.252,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,13,14,39.15,0.22,1.82,1.68,-8.376,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,14,15,45.62,0.02,-1.47,-16.64,-6.256,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,15,16,52.19,0.21,2.09,-4.38,-4.867,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,16,17,51.59,0.3,10.38,21.6,-3.422,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,17,18,47.45,2.93,6.44,1.59,-2.319,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,18,19,65.7,2.15,13.33,8.61,-2.435,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,19,20,67.18,2.35,13.79,-10.69,-1.933,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,20,21,64.75,6.09,22.94,15.79,-1.475,86.857,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,21,22,73.71,0.81,14.55,8.92,-1.36,87.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,22,23,91.13,2.34,-5.79,-8.16,-1.375,87.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,23,2,77.52,0,-299.99,146.34,-98.247,87.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,7,8,31.67,5.45,3.02,-167.36,424.895,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,8,10,51.07,14.72,-5.29,84.09,171.304,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,10,11,40.3,0.06,0.7,-48.86,-243.335,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,11,12,30.24,0.21,0.79,13.04,-54.104,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,12,13,25.14,0.67,1.05,-21.61,-20.077,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,13,14,37.51,1.4,-0.87,0.83,-16.179,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,14,15,43.4,0.81,-1.25,-16.96,-11.323,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,15,16,49.76,2.17,-2.13,-4.63,-8.478,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,16,17,49.79,2.68,-2.46,21.23,-5.856,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,17,18,45.83,4.54,-4.23,1.57,-3.882,84.303,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,12,15,32.03,0.3,0.94,-37.63,-48.989,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,15,16,49.9,1.79,2.7,-5.27,-8.722,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,16,17,50.07,0.03,4.95,21.58,-6.042,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,17,18,46.46,0.96,6.29,1.46,-4.037,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,18,19,65.49,0.33,-0.61,8.37,-4.237,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,19,20,67.39,0.14,-1.94,-10.72,-3.336,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,20,21,63.94,0.5,-1.39,15.6,-2.476,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,21,22,73.73,0.06,-3.58,9.37,-2.277,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,22,23,92.68,0.33,3.88,-7.75,-2.319,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,23,2,-6.16,1.96,-180.38,-6.22,10.156,86.486,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,18,19,65.77,0.81,16.52,8.18,-4.182,84.979,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,19,20,66.84,1.57,-20.82,-11.49,-3.251,84.979,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,20,21,62.08,2.02,12.96,15.95,-2.362,84.979,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,21,22,73.6,0.06,6.27,9.11,-2.233,84.979,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,22,23,91.4,2.07,-3.67,-7.74,-2.248,84.979,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,23,2,25.43,0,-299.99,37.43,-41.191,84.979,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,2,3,59.74,0,-299.99,45.26,-48.097,84.979,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,7,8,30.53,0.12,0.72,-108.43,406.393,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,8,9,40.31,7.43,4.64,169.81,536.478,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,9,11,50.73,30.36,-16.27,-191.84,135.058,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,11,12,42.89,0.01,0.67,20.39,-399.628,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,12,13,26.44,0.12,2.23,-19.71,-75.427,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,13,14,36.74,0.16,1.43,2.22,-48.035,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,14,15,41.24,0.24,2.1,-16.03,-29.731,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,15,16,47.64,0.4,2.62,-3.92,-21.137,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,16,17,48.28,0.22,2.14,21.62,-14.188,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,17,18,45.01,0.35,3.87,1.98,-9.239,125.448,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,18,19,64.52,0.97,-0.59,7.99,-9.638,125.491,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,19,20,66.39,1.75,4.34,-10.96,-7.448,125.491,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,20,21,63.75,2.11,-0.54,16.16,-5.512,125.491,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,21,22,73.17,3.11,3.76,9.31,-4.982,125.491,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,10,22,23,93.86,3.14,-2.17,-7.57,-5.125,125.491,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,7,8,32.11,0.03,0.76,-88.93,426.714,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,8,9,33.23,0.22,0.98,98.35,252.391,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,9,10,43.35,5.63,3.72,-102.23,576.154,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,10,12,8.2,192.49,-107.5,-30.21,15.563,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,12,13,33.82,0.03,1.83,-12.24,-366.929,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,13,14,37.97,0.09,0.67,4.58,-128.728,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,14,15,37.01,0.05,0.64,-15.1,-58.561,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,15,16,42.41,0.21,1.15,-3.27,-37.578,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,16,17,43.81,0.04,2.11,22.01,-24.196,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,17,18,41.6,0.05,3.4,2.19,-15.384,143.147,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,18,19,59.44,0.7,3.14,8.12,-15.523,143.358,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,19,20,62.59,0.11,-1.38,-10.64,-11.988,143.358,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,20,21,60.49,1.9,0.68,16.25,-8.762,143.358,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,21,22,70.21,0.45,1.41,9.33,-7.889,143.358,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,11,22,23,89.95,1.82,-0.38,-7.47,-8.002,143.358,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,9,10,33.41,0.07,0.17,-118.7,-184.029,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,10,11,17.51,115.35,-72.68,92.57,-24.119,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,11,12,26.98,153.89,39.72,-95.11,-14.862,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,12,13,20.43,0.65,3.08,-20.82,-5.627,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,13,14,31.29,1.01,-4.38,1.45,-4.924,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,14,15,36.39,3.08,-7.96,-16.38,-3.579,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,15,16,41.26,0.92,-8.26,-4.32,-2.705,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,16,17,41.49,2.64,-7.63,21.57,-1.905,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,17,18,38.6,7.47,-16.08,1.7,-1.289,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,18,19,53.77,6.58,-21.01,8.77,-1.346,103.834,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,19,20,56.74,0.79,-26.43,-11.33,-1.103,104.762,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,20,21,49.72,5.56,52.19,15.33,-0.759,104.762,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,21,22,60.95,5.77,18.15,9.54,-0.745,104.762,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,22,23,76.46,0.75,19.38,-7.8,-0.759,104.762,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,11,13,27.62,0.48,0.99,-89.13,-72.646,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,13,14,34.38,0.37,0.92,0.04,-14.208,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,14,15,39.58,0.23,1.2,-16.77,-9.664,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,15,16,45.18,0.9,1.54,-4.84,-7.073,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,16,17,45.32,0.19,3.05,21.2,-4.824,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,17,18,41.79,0.51,3.35,1.53,-3.164,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,18,19,60.3,0.47,2.9,8.47,-3.364,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,19,20,61.28,1.5,5.98,-10.94,-2.592,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,20,21,58.42,1.61,5.29,15.65,-1.919,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,21,22,68.84,0.09,5.45,9.28,-1.79,99.143,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,22,23,91.12,12.88,13.35,-8.42,-1.926,100.023,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,23,2,-149.17,0,-299.99,138.46,156.896,100.023,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,2,3,-333.39,0,-299.99,131.39,139.002,100.023,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,3,4,-165.99,0,-299.99,130.42,132.124,100.023,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,4,5,-59.72,10.04,-288.89,118.34,110.908,100.023,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,8,9,41.9,2.85,1.84,267.21,1082.558,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,9,11,41.47,11.73,-3.42,-218.53,267.881,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,11,12,43.15,0.01,0.63,-62.49,-501.71,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,12,13,25.9,0.06,1.73,-21.08,-89.23,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,13,14,35.3,0.15,0.7,1.33,-54.298,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,14,15,39.13,0.24,0.62,-16.44,-32.501,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,15,16,44.99,0.13,1.06,-4.31,-22.603,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,16,17,45.74,0.83,0.98,21.62,-15.008,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,17,18,42.6,0.79,1.52,1.57,-9.65,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,18,19,61.25,0.81,1.51,8.9,-9.991,162.348,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,13,16,38.11,0.11,0.9,-20.33,-110.294,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,16,17,45.55,0.38,-1.22,21.2,-15.067,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,17,18,42.57,0.21,0.96,1.83,-9.722,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,18,19,61.03,0.05,0.99,8.69,-10.036,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,19,20,63.13,0.12,2.53,-11.02,-7.73,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,20,21,60.52,2.15,1.54,15.89,-5.67,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,21,22,70.89,0.2,2.82,9.13,-5.196,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,22,23,90.17,0.78,2.53,-7.56,-5.27,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,23,2,1.23,0,-299.99,-13.57,-2.863,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,2,3,4.79,0,-299.99,1.73,-4.011,163.669,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,19,20,63.17,0.99,2.27,-11.57,-7.69,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,20,21,60.59,1.73,1.35,15.54,-5.643,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,21,22,70.54,0.82,2.54,9.45,-5.14,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,22,23,89.69,0.32,2.17,-7.8,-5.211,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,23,3,80.73,0,-299.99,143.87,-254.168,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,3,4,147.87,0,-299.99,131.79,-227.948,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,4,5,63.73,0,-299.99,134.14,-220.059,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,5,6,14.92,0,-299.99,99.41,-173.825,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,6,7,-5.25,0,-299.99,78.2,-147.296,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,7,8,1.55,0,-299.99,20.27,-33.361,162.717,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,8,9,39.33,0.06,0.93,154.03,794.772,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,9,10,41.7,4.76,3.1,-52.29,842.622,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,10,12,16.96,61.61,-28.06,-153.4,68.524,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,12,13,33.81,0.02,1.76,-16.24,-478.214,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,13,14,37.39,0.03,0.22,3.08,-161.892,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,14,15,35.67,0.21,0.59,-15.62,-70.8,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,15,16,40.48,0.02,0.56,-3.85,-44.304,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,16,17,41.76,0.17,1.35,22,-28.126,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,17,18,39.57,0.25,1.26,1.73,-17.653,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,18,19,56.95,0.41,1.2,9.14,-17.747,190.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,19,20,59.93,1.09,1,-11.53,-13.576,190.323,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,20,21,58.42,0.59,1.31,15.77,-9.94,190.323,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,21,22,67.91,0.25,3.16,9.55,-8.906,190.323,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,11,22,23,87.07,0.15,1.13,-7.69,-8.991,190.323,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,8,9,40.33,0.02,0.98,133.01,740.398,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,9,10,35.09,0.15,0.82,-106.99,368.189,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,10,11,37.51,3.37,2.75,-6.47,688.619,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,11,13,236.84,3.9,-2.64,-117.76,621.212,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,13,14,65.26,0.01,0.06,15.79,-978.135,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,14,15,40.29,0.02,0.63,-13.5,-188.689,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,15,16,39.33,0.04,0.45,-3.11,-85.959,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,16,17,40.08,0.1,1.53,22.38,-49.063,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,17,18,38.45,0.04,1.42,2.02,-29.336,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,12,18,19,55.09,0.27,0.7,9.32,-28.147,197.763,1000,0,0,,,,,,,,,,,,,,,,,,40
