El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,Time,Latitude,Longitude,,,,,,,,,,,,,,,,,,TM1
Mixed / non conventional,0,1,2,3,61.24,0.08,0.68,-27.75,-338.329,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,3,4,35.63,0.55,-0.13,36.26,-49.212,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,4,5,27.94,0.21,0.02,-3.54,-15.434,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,5,6,33.53,0.51,1.02,15.62,-9.263,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,6,7,33.64,1.15,-0.44,7.6,-5.311,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,7,8,32.22,0.07,4.32,-31.24,-3.178,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,8,9,37,0.86,3.99,17.19,-2.433,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,9,10,60.03,0.26,3.06,-1.42,-2.764,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,10,11,50.45,6.38,2.52,-18.18,-1.689,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,11,12,62.74,0.28,9.26,11.57,-1.576,104.144,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,12,13,54.64,17.01,32.11,-13.12,-1.053,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,13,14,74.29,20.17,-12.26,-3.01,-1.124,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,14,15,73.31,4.25,1.41,7.9,-0.888,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,15,16,92.41,7.18,-2.95,-16.34,-0.909,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,16,17,72.44,7.66,-3.28,44.98,-0.587,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,17,18,66.8,7.99,30.07,-15.97,-0.451,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,18,19,96.93,20.13,-19.51,-31.89,-0.551,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,19,20,99.27,13.07,-10.48,15.29,-0.48,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,20,21,81.23,25.38,-29.26,15.7,-0.336,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,21,22,96.1,32.29,-13.42,-1.61,-0.344,103.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,22,23,76.02,168.51,-73.81,-8.39,-0.236,103.753,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,4,6,30.02,0.46,1,11.14,-103.048,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,6,7,28.55,3.71,-1.87,7.32,-15.397,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,7,8,28.12,0.27,1.69,-31.1,-8.963,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,8,9,32.73,0.82,2.67,17.17,-6.686,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,9,10,54.2,0.43,0.09,-1.3,-7.53,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,10,11,45.36,0.01,2.98,-20.09,-4.481,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,11,12,58,0.13,-0.32,13.73,-4.223,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,12,13,51.88,0.47,4.38,-13.05,-2.864,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
