    1       1      12       2      13       18.52000
    2       1      12       2      14       14.00000
    3       1      12       2      15       12.22000
    4       1      12       2      16       11.23000
    5       1      12       2      17       10.82000
    6       1      12       2      18       10.62000
    7       1      12       2      19       10.53000
    8       1      12       2      20       10.49000
    9       1      12       2      21       10.47000
   10       1      12       2      22       10.45000
   11       1      12       3      13       12.05000
   12       1      12       3      14        7.54000
   13       1      12       3      15        5.76000
   14       1      12       3      16        4.77000
   15       1      12       3      17        4.36000
   16       1      12       3      18        4.16000
   17       1      12       3      19        4.07000
   18       1      12       3      20        4.03000
   19       1      12       3      21        4.01000
   20       1      12       3      22        3.99000
   21       1      12       4      13        9.99000
   22       1      12       4      14        5.48000
   23       1      12       4      15        3.69000
   24       1      12       4      16        2.70000
   25       1      12       4      17        2.29000
   26       1      12       4      18        2.09000
   27       1      12       4      19        2.00000
   28       1      12       4      20        1.97000
   29       1      12       4      21        1.94000
   30       1      12       4      22        1.93000
   31       1      12       5      13        8.96000
   32       1      12       5      14        4.45000
   33       1      12       5      15        2.66000
   34       1      12       5      16        1.67000
   35       1      12       5      17        1.26000
   36       1      12       5      18        1.06000
   37       1      12       5      19        0.97000
   38       1      12       5      20        0.94000
   39       1      12       5      21        0.91000
   40       1      12       5      22        0.90000
   41       1      12       6      13        8.45000
   42       1      12       6      14        3.93000
   43       1      12       6      15        2.15000
   44       1      12       6      16        1.16000
   45       1      12       6      17        0.75000
   46       1      12       6      18        0.55000
   47       1      12       6      19        0.46000
   48       1      12       6      20        0.43000
   49       1      12       6      21        0.40000
   50       1      12       6      22        0.38000
   51       1      12       7      13        8.30000
   52       1      12       7      14        3.79000
   53       1      12       7      15        2.00000
   54       1      12       7      16        1.01000
   55       1      12       7      17        0.61000
   56       1      12       7      18        0.40000
   57       1      12       7      19        0.31000
   58       1      12       7      20        0.28000
   59       1      12       7      21        0.25000
   60       1      12       7      22        0.24000
   61       1      12       8      13        8.26000
   62       1      12       8      14        3.75000
   63       1      12       8      15        1.97000
   64       1      12       8      16        0.98000
   65       1      12       8      17        0.57000
   66       1      12       8      18        0.37000
   67       1      12       8      20        0.24000
   68       1      12       8      21        0.22000
   69       1      12       8      22        0.20000
   70       1      12       9      13        8.24000
   71       1      12       9      14        3.73000
