El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),Nâ electrode A,Nâ electrode B,Nâ electrode M,Nâ electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (mV/V),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (âC),Rx-Bat (V),Rx Temp. (âC),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
Mixed / non conventional,0,2,6,7,0,2,6,7,27.97,0.87,0,4.95,-5.14,-8.651,74.203,1000,-239.9,177.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.57,-4,-46.08,44.53,47.77,7.33,18.26,-14.2,-16.51,8.42,19.81,-17.59,6.73,-16.33,-25.91,-7.29,8.37,7.71,9.19,14.27,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,2,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,7,8,0,2,7,8,30.79,0.72,0,2.52,9.85,-5.627,74.203,1000,-405.99,81.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93,2.37,2.01,7.83,2.55,1.9,9.37,3.11,3.35,4.89,11.29,-3.55,-5.89,-6.07,-8.25,2.23,-10.96,2.87,13.67,8.75,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,3,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,8,9,0,2,8,9,38.25,0.29,0,-0.84,11.97,-4.481,74.203,1000,-633.35,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64,-14.94,7.48,-3.4,-10.45,-11.59,-10.77,6.21,-1.19,-4.56,-6.44,3.98,-2,4,-3.95,-4.42,16.51,2.41,8.56,10.39,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,4,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,9,10,0,2,9,10,36.66,0.12,0,3.22,4.41,-2.92,74.203,1000,-931.39,87.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,27.84,4.27,3.42,-24.47,4.55,11.87,12.53,8.61,-4,11.63,-0.67,10.7,-13.49,-2.12,1.6,-15.53,-2.15,14.77,5.83,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,5,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,10,11,0,2,10,11,40.43,0.42,0,-0.49,-6.29,-2.291,74.203,1000,-1309.55,-12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.32,5.86,12.6,-4.32,-18.45,-9.74,-26.61,5.47,-4.68,-7.71,-14.96,6.95,-6.2,9.04,-1.18,-6.31,22.48,-10.9,14.9,30.2,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,6,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,11,12,0,2,11,12,55.54,0.37,0,2.75,-11.31,-2.319,74.203,1000,-1777.24,49.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.79,9.25,10.79,-0.3,-18.18,-6.22,8.38,-5.87,18.92,7.35,8.88,15.86,12.82,-11.24,-2.72,5.48,-15.44,6.96,17.73,3.42,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,7,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,12,13,0,2,12,13,65.59,0.78,0,-2.43,9.97,-2.077,74.203,1000,-2343.9,-37.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.23,-1.3,2.87,-7.08,-10.09,-0.72,-37.21,-6.09,2.57,-39.95,-22.62,4.77,2.61,19.89,5.88,-17.51,38.28,3.34,-21.25,22.77,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,8,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,13,14,0,2,13,14,62.91,2,0,4.36,-14.79,-1.546,74.203,1000,-3018.94,69.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.66,18.88,6.75,-13.83,-42.9,15.68,16.1,11.54,0.09,2.73,13.26,9.03,-2.25,-14.97,-20.93,1.64,13.94,-6.97,33.09,26.67,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,9,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,15,16,0,2,15,16,92.66,5.67,0,12.36,37.76,-1.346,68.745,1000,-4731.89,133.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,38.07,-38.03,-2.42,-4.78,26.72,-7.45,-11.34,4.45,77.03,88.05,45.14,27.55,26.36,24.32,-21.68,-16.08,-20.14,7.88,-5.8,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.9,14,0,0,,SurfRifle_,1,0,12.89,0,12.39,38.7,9/10/16 12:19,0,1,0,0,0,0
Mixed / non conventional,0,3,1,2,0,3,1,2,55.48,4.61,0,3,113.49,538.619,61.001,1000,6.28,54.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,4.94,4.59,4.5,4.21,3.91,3,2.97,2.94,2.79,2.59,2.33,2.45,2.19,1.7,1.93,1.85,1.81,1.65,2.03,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,3.3,12,0,0,,SurfRifle_,1,0,12.89,0,12.39,39.2,9/10/16 12:20,0,1,0,0,0,0
Mixed / non conventional,0,3,2,5,0,3,2,5,108.36,11.88,0,4.8,-245.92,-210.412,61.001,1000,-31.42,44.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,6.47,6.26,7.1,6.87,6.44,4.58,4.73,4.89,4.66,4.37,3.84,4.33,3.57,2.98,3.68,3.23,3.47,3.08,4.04,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,3.3,12,0,0,,SurfRifle_,2,0,12.89,0,12.39,39.2,9/10/16 12:20,0,0,0,0,0,0
Mixed / non conventional,0,3,5,11,0,3,5,11,25.63,0.13,0,0.44,9.31,-66.162,61.001,1000,-23.63,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,1.77,1.16,0.4,0.82,0.56,-0.01,-0.03,0.63,0.48,0.82,0.03,0.51,0.4,-0.12,0.51,-0.33,-0.07,-0.14,0.11,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,3.3,12,0,0,,SurfRifle_,3,0,12.89,0,12.39,39.2,9/10/16 12:20,0,0,0,0,0,0
Mixed / non conventional,0,3,11,10,0,3,11,10,37.35,0.99,0,-2.26,6.93,3.178,61.001,1000,716.75,-60.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49,-1.12,6.24,-3.63,-3.76,-1.12,3.51,0.89,9.02,-10.3,-8.75,-1.43,8.89,6.31,-9.09,-9.05,-20.67,-9.44,-7.15,-3.12,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,3.3,12,0,0,,SurfRifle_,4,0,12.89,0,12.39,39.2,9/10/16 12:20,0,0,0,0,0,0
Mixed / non conventional,0,3,10,9,0,3,10,9,33.73,1.22,0,1.51,-3.8,4.159,61.001,1000,494.8,44.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86,0.15,1.78,-3.75,-0.59,-3.75,4.1,9.89,2.76,-1.9,-5.83,7.44,-3.16,-11.34,-7.14,-0.86,13.89,6.78,6.35,4.5,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,3.3,12,0,0,,SurfRifle_,5,0,12.89,0,12.39,39.2,9/10/16 12:20,0,0,0,0,0,0
Mixed / non conventional,0,3,9,4,0,3,9,4,33.13,0.02,0,0.41,-14.85,223.395,61.001,1000,9.05,12.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,1.1,1,0.83,0.65,0.5,0.31,0.4,0.31,0.22,0.25,0.32,0.36,0.16,-0.04,0.08,-0.01,0,0.15,0.18,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,3.3,12,0,0,,SurfRifle_,6,0,12.89,0,12.39,39.2,9/10/16 12:20,0,0,0,0,0,0
Mixed / non conventional,0,3,9,6,0,3,9,6,27,0.51,0,1.15,-15.21,28.053,58.747,1000,56.55,42.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.26,16.91,4.17,-4.62,-3.62,8.04,8.59,0.13,7.24,-2.37,-5.3,1.76,-6.11,-3.95,-0.23,5.6,1.88,-2.9,-0.03,2.17,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.4,12,0,0,,SurfRifle_,1,0,12.86,0,12.41,38.7,9/10/16 12:20,0,1,0,0,0,0
Mixed / non conventional,0,3,6,13,0,3,6,13,30.56,0.09,0,1.74,10.03,-41.034,58.747,1000,-43.76,56.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73,11.65,5.76,-3.05,-2.69,6.97,6.07,1.91,6.24,-1.75,-3.4,1.89,-2.68,-2.38,2.06,4.49,3.03,-1.41,1.45,2.35,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.4,12,0,0,,SurfRifle_,2,0,12.86,0,12.41,38.7,9/10/16 12:20,0,0,0,0,0,0
Mixed / non conventional,0,3,13,12,0,3,13,12,63.2,3.21,0,2.5,-9.82,2.778,58.747,1000,1336.6,39.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,9.56,-1.07,14.74,21.56,12.27,-11.23,-18.36,-2.35,12.43,12.61,-16.44,-5.81,13.47,-3.58,-6.7,8.26,29.58,-8.58,-12.88,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.4,12,0,0,,SurfRifle_,3,0,12.86,0,12.41,38.7,9/10/16 12:20,0,0,0,0,0,0
