El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),Nâ electrode A,Nâ electrode B,Nâ electrode M,Nâ electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (mV/V),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (âC),Rx-Bat (V),Rx Temp. (âC),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
Mixed / non conventional,2,4,6,8,2,4,6,8,24.86,1.74,0,0.27,57.5,-31.404,47.63,1000,-37.7,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.11,-0.71,3.47,2.55,4.15,-2.04,2.34,7.7,-3.4,-4.98,0.24,-2.41,-1.26,8.81,-1.4,0.42,-0.01,-5.09,-3.72,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,4.2,10,0,0,,SurfRifle_,1,0,12.83,0,12.35,37.8,9/10/16 12:24,0,1,0,0,0,0
Mixed / non conventional,2,4,8,9,2,4,8,9,31.16,0.7,0,1.2,11.96,-6.187,47.63,1000,-239.9,38.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16,13.74,4.45,-18.67,-14.03,-15.49,18.97,-7.99,-29.55,32.41,22.32,-10.65,9.16,7.23,-45.19,-2.78,3.18,6.69,36.22,16.24,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,4.2,10,0,0,,SurfRifle_,2,0,12.83,0,12.35,37.8,9/10/16 12:24,0,0,0,0,0,0
Mixed / non conventional,2,4,9,10,2,4,9,10,31.73,0.23,0,-0.37,4.34,-3.723,47.63,1000,-405.99,-11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,2.16,4.81,-5.53,-9.13,-11.3,3.13,6.01,-7.93,-3.37,-3.61,-4.09,2.4,-3.13,-4.81,-1.92,0.48,12.74,3.37,10.1,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,4.2,10,0,0,,SurfRifle_,3,0,12.83,0,12.35,37.8,9/10/16 12:24,0,0,0,0,0,0
Mixed / non conventional,2,4,10,11,2,4,10,11,36.36,1.33,0,0.51,-7.46,-2.735,47.63,1000,-633.35,14.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,13.76,-1.95,-10.13,-10.84,-0.33,15.1,-2.92,27.2,9.81,0,-17.63,-24.85,-22.58,1.02,-31.14,20.29,16.33,-0.01,7.23,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,4.2,10,0,0,,SurfRifle_,4,0,12.83,0,12.35,37.8,9/10/16 12:24,0,0,0,0,0,0
Mixed / non conventional,2,4,11,12,2,4,11,12,51.23,0.42,0,-2.1,-13.97,-2.62,47.63,1000,-931.39,-40.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,-2.75,-8.55,-1.04,2.77,-12.6,-8.19,-1.72,-2.4,-2.37,19.11,1.05,-11.89,-12.95,-19.15,8.54,11.24,-1.39,-6.83,1.04,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,4.2,10,0,0,,SurfRifle_,5,0,12.83,0,12.35,37.8,9/10/16 12:24,0,0,0,0,0,0
Mixed / non conventional,2,4,12,13,2,4,12,13,62.98,4.49,0,-2.07,11.83,-2.291,47.63,1000,-1309.55,-32.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.67,-8.2,-15.23,14.45,-2.73,-7.42,23.05,-6.64,20.7,1.95,10.16,-22.27,-19.14,-36.72,-23.44,-18.75,18.75,25.78,-3.52,21.48,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,4.2,10,0,0,,SurfRifle_,6,0,12.83,0,12.35,37.8,9/10/16 12:24,0,0,0,0,0,0
Mixed / non conventional,2,4,13,14,2,4,13,14,61.43,0.97,0,-7.92,-19.21,-1.646,47.63,1000,-1777.24,-128.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.86,-21.8,-1.54,-21.17,-7.16,-42.9,-18.52,12,-10.99,2.64,-20.09,-5.43,-3.24,10.34,-2.68,-17.83,-16.88,7.11,-10.82,25.5,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,4.2,10,0,0,,SurfRifle_,7,0,12.83,0,12.35,37.8,9/10/16 12:24,0,0,0,0,0,0
Mixed / non conventional,2,4,14,15,2,4,14,15,63.43,1.25,0,3.82,-9.24,-1.289,47.63,1000,-2343.9,60.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,-14.58,1.39,20.14,0,-19.44,20.83,19.44,27.78,11.11,6.25,19.44,-31.94,4.17,0,-79.86,29.17,24.31,-7.64,43.06,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,4.2,10,0,0,,SurfRifle_,8,0,12.83,0,12.35,37.8,9/10/16 12:24,0,0,0,0,0,0
Mixed / non conventional,2,4,15,16,2,4,15,16,94.38,0.75,0,2.49,39.1,-1.489,47.63,1000,-3018.94,26.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.23,13.22,31.25,-23.44,-12.02,10.82,10.22,-0.6,-29.45,0.6,25.24,36.66,7.21,-12.62,-16.83,25.84,21.63,12.62,-16.23,-15.02,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,4.2,10,0,0,,SurfRifle_,9,0,12.83,0,12.35,37.8,9/10/16 12:24,0,0,0,0,0,0
Mixed / non conventional,2,5,4,3,2,5,4,3,50.02,4,0,2.1,-52,-592.971,74.481,1000,-6.28,42.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,3.19,3.02,2.71,2.69,2.46,2.31,1.98,2.02,2.28,1.9,1.8,1.82,1.57,1.58,1.37,1.59,1.42,1.5,1.28,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.7,15,0,0,,SurfRifle_,1,0,12.83,0,12.19,38.2,9/10/16 12:25,0,1,0,0,0,0
Mixed / non conventional,2,5,3,21,2,5,3,21,65.75,0.11,0,1.17,-227.59,397.407,74.481,1000,12.32,17.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,2.19,2.27,1.73,1.86,1.45,1.14,0.79,0.76,1.39,1.06,0.76,0.82,0.51,0.76,0.57,0.78,0.66,0.81,0.49,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.7,15,0,0,,SurfRifle_,2,0,12.83,0,12.19,38.2,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,21,20,2,5,21,20,68.04,7.36,0,4.52,-12.25,1.002,74.481,1000,5056.12,66.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.97,-7.93,-8.38,59.14,2.23,20.81,22.74,24.15,-8.39,-28.59,-10.34,6.86,-35.94,-43.01,19.97,28.88,-17.48,-12.38,-4.28,30.35,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.7,15,0,0,,SurfRifle_,3,0,12.83,0,12.19,38.2,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,20,19,2,5,20,19,100.25,4.49,0,2.7,-12.03,1.775,74.481,1000,4205.81,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.54,17.39,28.98,17.64,6.55,-21.93,-42.84,5.54,13.61,-22.68,53.43,10.58,-10.58,35.28,26.46,15.12,-25.71,2.77,-25.45,6.3,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.7,15,0,0,,SurfRifle_,4,0,12.83,0,12.19,38.2,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,19,18,2,5,19,18,104.62,1.96,0,4.8,24.74,2.255,74.481,1000,3456.03,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,0.56,-1.49,13.08,7.89,-11.59,8.69,11.72,19.87,-5.58,12.38,5.01,20,-6.36,-12.79,1.77,27.22,-2.79,-17.7,2.66,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.7,15,0,0,,SurfRifle_,5,0,12.83,0,12.19,38.2,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,18,17,2,5,18,17,66.75,6.42,0,4.51,-26.76,1.775,74.481,1000,2800.51,67.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,35.53,33.52,8.82,-9.83,-22.43,-23.69,1.76,15.12,-24.19,50.66,25.96,-6.8,6.3,25.2,3.53,-10.84,-5.04,-5.29,-8.82,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.7,15,0,0,,SurfRifle_,6,0,12.83,0,12.19,38.2,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,16,15,2,5,16,15,92.88,1.53,0,4.72,-38.9,3.96,74.481,1000,1747.07,50.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.31,13.22,26.78,3.04,2.03,-0.35,-5.21,-2.8,13.55,2.41,24.47,2.17,-0.28,10.03,3.96,2.76,0.37,0.37,2.09,4.13,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.7,15,0,0,,SurfRifle_,8,0,12.83,0,12.19,38.2,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,15,14,2,5,15,14,62.69,0.74,0,3.64,9.5,3.493,74.481,1000,1336.6,58.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,4.23,3.84,-12.3,-0.64,6.15,-2.18,3.84,-0.26,11.53,6.4,-4.23,14.73,9.61,4.1,5.38,2.18,5.51,-0.26,3.97,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.7,15,0,0,,SurfRifle_,9,0,12.83,0,12.19,38.2,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,14,13,2,5,14,13,60.2,2.03,0,3.89,19.42,4.505,74.481,1000,995.26,64.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,-5.58,5.57,14.43,9.78,12.58,-4.76,-8.31,3.03,3.77,5.45,8.92,-4.05,-2.39,6.53,5.97,5.46,11.12,2.9,-0.35,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0,200,2.7,15,0,0,,SurfRifle_,10,0,12.83,0,12.19,38.2,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,6,7,2,5,6,7,39.74,0,0,0.54,32.19,-211.595,74.352,1000,-13.96,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1.48,0.27,0.29,0.84,0.83,0.12,0.87,0.52,0.21,0.6,0.65,0.81,0.91,0.93,1.32,-0.48,0.41,-0.03,-0.66,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.7,15,0,0,,SurfRifle_,1,0,12.83,0,12.39,39.7,9/10/16 12:25,0,1,0,0,0,0
Mixed / non conventional,2,5,7,8,2,5,7,8,28.51,0.45,0,1.34,11.14,-44.987,74.352,1000,-47.12,47.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,-0.32,4.74,3.6,0.35,1.07,4.43,-0.84,0.33,2.51,1.81,1.05,0.37,-2.37,-1.62,-3.3,2.78,-0.14,2.83,5.59,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.7,15,0,0,,SurfRifle_,2,0,12.83,0,12.39,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,8,9,2,5,8,9,29.19,0.08,0,0.62,14.9,-20.56,74.352,1000,-105.56,21.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0.78,1.4,-0.65,0.6,0.83,1.22,0.21,1.95,0.87,1.78,2.04,0.88,1.58,2.14,1.01,-2.88,1.17,-3.57,-1.21,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.7,15,0,0,,SurfRifle_,3,0,12.83,0,12.39,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,9,10,2,5,9,10,29.06,0.63,0,0.94,5.03,-11.053,74.352,1000,-195.48,32.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,-0.75,1.36,0.33,2.68,-2.83,7.55,2.6,-0.54,4.72,3.82,2.02,-0.41,-4.29,-0.88,-2.36,1.61,-2.5,4.15,-0.07,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.7,15,0,0,,SurfRifle_,4,0,12.83,0,12.39,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,10,11,2,5,10,11,33.97,0.24,0,1.2,-6.63,-7.816,74.352,1000,-323.14,35.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,3.66,0,-0.14,0.34,1.59,-4.59,7.89,-0.11,-0.58,-4.03,7.09,0.56,-0.68,-0.11,1.61,6.89,4.94,1.02,-3.29,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.7,15,0,0,,SurfRifle_,5,0,12.83,0,12.39,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,11,12,2,5,11,12,48.97,2.16,0,0.97,-13.17,-7.359,74.352,1000,-494.8,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.95,-2.3,1.35,0.27,-0.36,4.15,6.7,7.7,3.72,12.47,4.03,-0.97,-2.93,-6.46,2.18,-3.65,4.89,-1.46,1.73,-0.82,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.7,15,0,0,,SurfRifle_,6,0,12.83,0,12.39,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,12,13,2,5,12,13,60.85,0.32,0,1.32,12.21,-6.313,74.352,1000,-716.75,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,3.85,-1.43,-5.84,4.83,-2.58,0.12,-2.3,1.02,10.65,1.69,-8.09,4.95,4.1,-4.5,2.55,8.52,-2.13,1.69,8.79,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.7,15,0,0,,SurfRifle_,7,0,12.83,0,12.39,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,15,16,2,5,15,16,93.57,0.97,0,3.47,39.68,-3.982,74.352,1000,-1747.07,37.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.9,2.21,-5.38,2.52,15.98,0.9,2.92,7.19,-6.7,11.92,8.12,-5.67,10.55,-2.56,-2.44,-4.28,-0.46,5.87,24.77,13.8,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.7,15,0,0,,SurfRifle_,10,0,12.83,0,12.39,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,8,11,2,5,8,11,30.02,0.25,0,0.71,12.01,-37.848,71.294,1000,-56.55,23.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,4,-0.57,0.09,-0.52,1.16,2.01,-0.12,3.64,0.4,0.95,1.06,-0.07,0.28,0.28,0.33,-0.02,0.26,0.87,-1.82,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.8,14,0,0,,SurfRifle_,1,0,12.83,0,12.41,39.7,9/10/16 12:25,0,1,0,0,0,0
Mixed / non conventional,2,5,11,12,2,5,11,12,48.91,0.96,0,-0.54,-13.89,-7.047,71.294,1000,-494.8,-11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-14.35,-3.28,0.78,8.78,1.26,-7.5,7.26,-7.61,-2.15,2.42,1.16,2.03,5.71,-8.76,-8.27,-0.64,2.68,2.54,7.1,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.8,14,0,0,,SurfRifle_,2,0,12.83,0,12.41,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,12,13,2,5,12,13,60.74,0.1,0,-0.19,12.43,-6.042,71.294,1000,-716.75,-3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,1.78,-0.44,-7.85,-1.93,5.18,-1.93,-4.89,-0.59,0,6.37,4.15,1.04,-4.15,5.92,-2.67,-8.74,3.26,-2.07,-1.33,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.8,14,0,0,,SurfRifle_,3,0,12.83,0,12.41,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,13,16,2,5,13,16,69.43,0.3,0,1.34,11.17,-11.511,71.294,1000,-430.05,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,-0.08,-0.31,0.78,1.71,4.51,2.41,3.96,3.35,2.56,-0.24,3.03,4.98,0.23,-1.86,0.23,1.56,-2.33,-2.18,1.63,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.8,14,0,0,,SurfRifle_,4,0,12.83,0,12.41,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,16,17,2,5,16,17,55.6,0.71,0,7.86,-46.88,-1.775,71.294,1000,-2232.95,141.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.07,2.52,13.1,-4.03,25.2,14.62,15.12,7.56,18.65,21.67,1.01,-14.62,24.7,6.05,12.1,10.58,-8.57,7.06,15.12,-1.51,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.8,14,0,0,,SurfRifle_,5,0,12.83,0,12.41,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,17,18,2,5,17,18,67.49,1.12,0,6.9,27.66,-1.718,71.294,1000,-2800.51,102.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.85,-14.06,10.42,23.96,4.69,5.73,2.6,23.96,25.52,35.94,31.77,25,15.63,-10.42,2.08,2.6,-2.6,-20.83,-8.33,-6.77,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.8,14,0,0,,SurfRifle_,6,0,12.83,0,12.41,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,18,19,2,5,18,19,104.09,0.56,0,0.69,-24.36,-2.147,71.294,1000,-3456.03,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.17,-11.67,-4.17,-3.75,1.67,-3.75,25.42,12.08,0,19.58,-6.67,-19.58,-13.75,-1.67,-5,4.17,8.33,3.75,5,12.92,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.8,14,0,0,,SurfRifle_,7,0,12.83,0,12.41,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,19,20,2,5,19,20,99.69,0.32,0,1.64,12.56,-1.69,71.294,1000,-4205.81,16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.72,-13.77,4.24,-3.71,46.61,3.71,-2.65,15.89,0.53,9.53,5.83,2.65,16.42,-2.65,-5.3,8.47,-7.42,-28.6,-25.42,-13.24,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.8,14,0,0,,SurfRifle_,8,0,12.83,0,12.41,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,5,21,22,2,5,21,22,96.65,3.79,0,-0.66,8.05,-1.146,71.294,1000,-6013.24,-6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81,19.53,-17.19,28.12,23.44,14.06,-4.69,21.87,36.72,35.16,-0.78,-10.16,-3.13,-41.41,-11.72,-32.81,-21.09,-14.84,-9.37,-32.81,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.8,14,0,0,,SurfRifle_,10,0,12.83,0,12.41,39.7,9/10/16 12:25,0,0,0,0,0,0
Mixed / non conventional,2,6,3,4,2,6,3,4,55.71,0.05,0,0.84,5.3,324.238,54.85,1000,9.42,15.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,2.13,2.54,0.82,0.55,0.86,0.59,0.4,1.44,0.27,-0.65,0.35,0.96,0.57,0.08,0.8,1.14,1.54,0.49,0,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.6,11,0,0,,SurfRifle_,1,0,12.83,0,12.39,39.7,9/10/16 12:26,0,1,0,0,0,0
Mixed / non conventional,2,6,4,5,2,6,4,5,40.07,27.29,0,13.01,179.68,233.185,54.85,1000,9.42,324.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94,16.43,15.14,16.57,16.08,15.16,14.89,14.23,12.52,13.36,13.83,12.51,11.13,11.33,11.52,10,9.4,8.48,9.67,10.05,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.6,11,0,0,,SurfRifle_,2,0,12.83,0,12.39,39.7,9/10/16 12:26,0,0,0,0,0,0
Mixed / non conventional,2,6,7,8,2,6,7,8,48.01,0.03,0,0.81,8.05,-195.584,54.85,1000,-13.46,16.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,1.24,1.19,0.92,0.97,0.94,0.89,0.77,0.53,0.46,0.74,0.95,0.95,0.7,0.7,0.6,0.42,0.72,0.63,0.31,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.6,11,0,0,,SurfRifle_,4,0,12.83,0,12.39,39.7,9/10/16 12:26,0,0,0,0,0,0
Mixed / non conventional,2,6,8,9,2,6,8,9,30.55,0.06,0,0.3,13.18,-38.093,54.85,1000,-43.98,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,-0.75,0.68,0,0,1.32,0.36,1.25,1.1,0.28,0.23,1.2,1.06,0.54,1.31,-0.82,-0.85,0.05,-1.39,-0.24,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.6,11,0,0,,SurfRifle_,5,0,12.83,0,12.39,39.7,9/10/16 12:26,0,0,0,0,0,0
Mixed / non conventional,2,6,9,10,2,6,9,10,26.03,0.25,0,1.14,4.47,-14.876,54.85,1000,-95.96,43.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,2.53,1.75,2.72,2.34,2.23,-2.17,-0.6,-0.48,-2.96,-2.05,-1.81,5.54,4.99,6.03,4.57,0.12,1.09,-0.95,-1.85,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.6,11,0,0,,SurfRifle_,6,0,12.83,0,12.39,39.7,9/10/16 12:26,0,0,0,0,0,0
Mixed / non conventional,2,6,10,11,2,6,10,11,30.29,0.24,0,0.25,-7.29,-9.548,54.85,1000,-174,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52,-2.42,3.67,4.21,-2.71,4.4,4.12,3.66,5.34,-4.41,-4.67,2.07,4.69,-2.26,1.1,-7.02,-0.1,-4.02,0.93,0.94,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.6,11,0,0,,SurfRifle_,7,0,12.83,0,12.39,39.7,9/10/16 12:26,0,0,0,0,0,0
Mixed / non conventional,2,6,11,12,2,6,11,12,44.29,0.59,0,2.46,-13.7,-8.592,54.85,1000,-282.74,55.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.62,-3.15,1.78,-0.82,2.17,4.28,3.42,3.63,-1.23,7.6,10.23,4.4,3.14,1.98,3.24,6.79,4.49,1.26,-0.2,-3.1,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,3.6,11,0,0,,SurfRifle_,8,0,12.83,0,12.39,39.7,9/10/16 12:26,0,0,0,0,0,0
