,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch
,Mixed / non conventional,3.00,9.00,5.00,7.00,14.89,3.40,-145.32,58.306,49.209,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,10,6,8,0.00,0.00,0.00,0.00,6,0.000,1,0,0.027,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:20:41 AM,0,1
,Mixed / non conventional,4.00,10.00,6.00,8.00,16.65,0.17,8.20,57.783,43.621,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,11,7,9,0.00,0.00,0.00,0.00,3,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,25.5,8/2/2022 10:20:44 AM,0,1
,Mixed / non conventional,5.00,11.00,7.00,9.00,7.25,2.09,-11.49,23.561,40.833,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,12,8,10,0.00,0.00,0.00,0.00,6,0.000,1,0,0.034,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:20:50 AM,0,1
,Mixed / non conventional,6.00,12.00,8.00,10.00,7.20,0.26,190.83,15.070,26.298,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,13,9,11,0.00,0.00,0.00,0.00,3,0.000,15,0,0.583,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:20:53 AM,0,1
,Mixed / non conventional,7.00,13.00,9.00,11.00,15.25,0.95,168.68,16.605,13.686,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,14,10,12,0.00,0.00,0.00,0.00,5,0.000,17,0,1.249,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:20:57 AM,0,1
,Mixed / non conventional,8.00,14.00,10.00,12.00,23.11,1.91,40.94,18.284,9.941,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,15,11,13,0.00,0.00,0.00,0.00,6,0.000,95,1,9.604,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.39,25.5,8/2/2022 10:21:03 AM,0,1
,Mixed / non conventional,9.00,15.00,11.00,13.00,124.92,2.28,87.66,13.799,1.388,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,16,12,14,0.00,0.00,0.00,0.00,6,0.000,38,0,27.144,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,25.5,8/2/2022 10:21:08 AM,0,1
,Mixed / non conventional,0.00,9.00,3.00,6.00,9.14,0.71,-5.82,23.590,48.652,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10,4,7,0.00,0.00,0.00,0.00,3,0.000,1,0,0.028,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:21:11 AM,0,1
,Mixed / non conventional,1.00,10.00,4.00,7.00,8.24,1.50,13.30,18.672,42.738,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,11,5,8,0.00,0.00,0.00,0.00,6,0.000,1,0,0.033,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:21:17 AM,0,1
,Mixed / non conventional,2.00,11.00,5.00,8.00,13.03,2.32,-157.99,25.976,37.587,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,12,6,9,0.00,0.00,0.00,0.00,6,0.000,1,0,0.038,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,25.5,8/2/2022 10:21:22 AM,0,1
,Mixed / non conventional,3.00,12.00,6.00,9.00,7.96,0.14,-27.75,15.340,36.324,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,13,7,10,0.00,0.00,0.00,0.00,3,0.000,21,1,0.587,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.44,26.0,8/2/2022 10:21:25 AM,0,1
