Blocks Model
   1.00
2
Remote electrodes included
C2 remote electrode X, Y and Z location
-25.000,10.000,0.0
P2 remote electrode X, Y and Z location
60.000,0.000,0.0
Exact Geometric factor used
295
1
0
     21.50       7.00      10.26
     22.50       7.00      10.42
     23.50       7.00      10.99
     24.50       7.00      11.27
     25.50       7.00      10.88
     26.50       7.00      10.48
     27.50       7.00      10.21
     28.50       7.00      10.13
     29.50       7.00      10.34
     30.50       7.00      10.41
      4.00       8.00      12.27
      5.00       8.00      12.62
      6.00       8.00      12.83
      7.00       8.00      12.95
      8.00       8.00      12.98
      9.00       8.00      12.87
     10.00       8.00      12.54
     11.00       8.00      12.02
     12.00       8.00      12.23
     13.00       8.00      13.26
     14.00       8.00      14.27
     15.00       8.00      14.99
     16.00       8.00      14.23
     17.00       8.00      12.49
     18.00       8.00      11.59
     19.00       8.00      11.21
     20.00       8.00      10.81
     21.00       8.00      10.48
     22.00       8.00      10.09
     23.00       8.00      10.03
     24.00       8.00      10.78
     25.00       8.00      11.20
     26.00       8.00      10.86
     27.00       8.00      10.48
     28.00       8.00      10.22
     29.00       8.00      10.12
     30.00       8.00      10.29
      4.50       9.00      12.42
      5.50       9.00      12.55
      6.50       9.00      12.58
      7.50       9.00      12.50
      8.50       9.00      12.25
      9.50       9.00      11.74
     10.50       9.00      11.00
     11.50       9.00      10.74
     12.50       9.00      11.46
     13.50       9.00      12.86
     14.50       9.00      13.98
     15.50       9.00      13.59
     16.50       9.00      12.20
     17.50       9.00      11.53
     18.50       9.00      11.36
     19.50       9.00      11.23
     20.50       9.00      10.90
     21.50       9.00      10.33
     22.50       9.00       9.82
     23.50       9.00       9.95
     24.50       9.00      10.73
     25.50       9.00      11.14
     26.50       9.00      10.84
     27.50       9.00      10.48
     28.50       9.00      10.21
     29.50       9.00      10.10
      5.00      10.00      12.32
      6.00      10.00      12.28
      7.00      10.00      12.13
      8.00      10.00      11.80
      9.00      10.00      11.22
     10.00      10.00      10.41
     11.00      10.00       9.97
     12.00      10.00      10.20
     13.00      10.00      11.20
     14.00      10.00      12.60
     15.00      10.00      12.68
     16.00      10.00      11.70
     17.00      10.00      11.28
     18.00      10.00      11.28
     19.00      10.00      11.34
     20.00      10.00      11.28
     21.00      10.00      10.73
     22.00      10.00      10.08
     23.00      10.00       9.79
     24.00      10.00       9.97
     25.00      10.00      10.69
     26.00      10.00      11.09
     27.00      10.00      10.82
     28.00      10.00      10.47
     29.00      10.00      10.21
0
0
0
0
0
0
0
